iex_eligible_count,iex_selected_count,intersection_count,jaccard,overlap_rate,session_date,sip_eligible_count,sip_selected_count,valid
42,20,8,0.25,0.4,2024-01-02,31,20,True
50,20,8,0.25,0.4,2024-01-03,35,20,True
37,20,8,0.26666666666666666,0.4,2024-01-04,18,18,True
26,20,7,0.2692307692307692,0.35,2024-01-05,13,13,True
41,20,8,0.25,0.4,2024-01-08,24,20,True
46,20,8,0.25,0.4,2024-01-09,50,20,True
44,20,11,0.3793103448275862,0.55,2024-01-10,62,20,True
49,20,9,0.2903225806451613,0.45,2024-01-11,65,20,True
38,20,10,0.3333333333333333,0.5,2024-01-12,59,20,True
53,20,9,0.2903225806451613,0.45,2024-01-16,93,20,True
56,20,12,0.42857142857142855,0.6,2024-01-17,85,20,True
49,20,12,0.42857142857142855,0.6,2024-01-18,67,20,True
46,20,5,0.14285714285714285,0.25,2024-01-19,119,20,True
60,20,10,0.3333333333333333,0.5,2024-01-22,74,20,True
39,20,11,0.3793103448275862,0.55,2024-01-23,34,20,True
48,20,12,0.42857142857142855,0.6,2024-01-24,46,20,True
37,20,12,0.42857142857142855,0.6,2024-01-25,43,20,True
33,20,12,0.42857142857142855,0.6,2024-01-26,33,20,True
28,20,9,0.2903225806451613,0.45,2024-01-29,28,20,True
41,20,11,0.3793103448275862,0.55,2024-01-30,36,20,True
44,20,12,0.42857142857142855,0.6,2024-01-31,49,20,True
45,20,10,0.3333333333333333,0.5,2024-02-01,37,20,True
50,20,10,0.3333333333333333,0.5,2024-02-02,55,20,True
53,20,13,0.48148148148148145,0.65,2024-02-05,52,20,True
27,20,13,0.48148148148148145,0.65,2024-02-06,31,20,True
35,20,11,0.3793103448275862,0.55,2024-02-07,21,20,True
27,20,12,0.42857142857142855,0.6,2024-02-08,24,20,True
24,20,10,0.3333333333333333,0.5,2024-02-09,31,20,True
34,20,8,0.25,0.4,2024-02-12,30,20,True
52,20,12,0.42857142857142855,0.6,2024-02-13,76,20,True
24,20,9,0.2903225806451613,0.45,2024-02-14,34,20,True
23,20,9,0.2903225806451613,0.45,2024-02-15,36,20,True
37,20,6,0.17647058823529413,0.3,2024-02-16,86,20,True
51,20,12,0.42857142857142855,0.6,2024-02-20,67,20,True
32,20,9,0.2903225806451613,0.45,2024-02-21,37,20,True
47,20,8,0.25,0.4,2024-02-22,64,20,True
23,20,11,0.3793103448275862,0.55,2024-02-23,26,20,True
22,20,13,0.48148148148148145,0.65,2024-02-26,25,20,True
25,20,13,0.48148148148148145,0.65,2024-02-27,31,20,True
30,20,9,0.2903225806451613,0.45,2024-02-28,22,20,True
40,20,7,0.21212121212121213,0.35,2024-02-29,44,20,True
46,20,11,0.3793103448275862,0.55,2024-03-01,49,20,True
55,20,12,0.42857142857142855,0.6,2024-03-04,72,20,True
50,20,9,0.2903225806451613,0.45,2024-03-05,42,20,True
63,20,10,0.3333333333333333,0.5,2024-03-06,62,20,True
42,20,11,0.3793103448275862,0.55,2024-03-07,39,20,True
50,20,9,0.2903225806451613,0.45,2024-03-08,36,20,True
42,20,13,0.48148148148148145,0.65,2024-03-11,44,20,True
34,20,11,0.3793103448275862,0.55,2024-03-12,31,20,True
33,20,8,0.25,0.4,2024-03-13,27,20,True
36,20,8,0.25,0.4,2024-03-14,41,20,True
52,20,3,0.08108108108108109,0.15,2024-03-15,119,20,True
37,20,8,0.25806451612903225,0.4,2024-03-18,19,19,True
22,20,2,0.07692307692307693,0.1,2024-03-19,8,8,True
27,20,10,0.4,0.5,2024-03-20,15,15,True
37,20,11,0.3793103448275862,0.55,2024-03-21,37,20,True
23,20,8,0.27586206896551724,0.4,2024-03-22,17,17,True
40,20,9,0.2903225806451613,0.45,2024-03-25,22,20,True
19,19,3,0.10714285714285714,0.15789473684210525,2024-03-26,12,12,True
36,20,8,0.2857142857142857,0.4,2024-03-27,16,16,True
27,20,11,0.3793103448275862,0.55,2024-03-28,22,20,True
27,20,7,0.21212121212121213,0.35,2024-04-01,31,20,True
53,20,9,0.2903225806451613,0.45,2024-04-02,42,20,True
41,20,9,0.2903225806451613,0.45,2024-04-03,24,20,True
54,20,7,0.21212121212121213,0.35,2024-04-04,29,20,True
40,20,10,0.3333333333333333,0.5,2024-04-05,28,20,True
40,20,10,0.3333333333333333,0.5,2024-04-08,52,20,True
31,20,7,0.21212121212121213,0.35,2024-04-09,31,20,True
60,20,8,0.25,0.4,2024-04-10,77,20,True
30,20,8,0.25,0.4,2024-04-11,34,20,True
42,20,13,0.48148148148148145,0.65,2024-04-12,48,20,True
49,20,11,0.3793103448275862,0.55,2024-04-15,64,20,True
37,20,7,0.21212121212121213,0.35,2024-04-16,44,20,True
34,20,12,0.42857142857142855,0.6,2024-04-17,38,20,True
40,20,10,0.3333333333333333,0.5,2024-04-18,38,20,True
41,20,8,0.25,0.4,2024-04-19,118,20,True
45,20,11,0.3793103448275862,0.55,2024-04-22,49,20,True
27,20,11,0.3793103448275862,0.55,2024-04-23,35,20,True
40,20,11,0.3793103448275862,0.55,2024-04-24,53,20,True
63,20,15,0.6,0.75,2024-04-25,76,20,True
40,20,12,0.42857142857142855,0.6,2024-04-26,42,20,True
38,20,11,0.3793103448275862,0.55,2024-04-29,28,20,True
24,20,9,0.2903225806451613,0.45,2024-04-30,23,20,True
26,20,10,0.3333333333333333,0.5,2024-05-01,34,20,True
35,20,11,0.3793103448275862,0.55,2024-05-02,44,20,True
39,20,8,0.25,0.4,2024-05-03,56,20,True
19,19,10,0.3448275862068966,0.5,2024-05-06,25,20,True
19,19,5,0.14705882352941177,0.25,2024-05-07,30,20,True
20,20,3,0.08108108108108109,0.15,2024-05-08,28,20,True
15,15,4,0.18181818181818182,0.26666666666666666,2024-05-09,11,11,True
19,19,6,0.18181818181818182,0.3,2024-05-10,29,20,True
16,16,9,0.3333333333333333,0.45,2024-05-13,24,20,True
29,20,9,0.2903225806451613,0.45,2024-05-14,44,20,True
27,20,9,0.2903225806451613,0.45,2024-05-15,54,20,True
26,20,10,0.3333333333333333,0.5,2024-05-16,43,20,True
23,20,6,0.17647058823529413,0.3,2024-05-17,94,20,True
21,20,5,0.14285714285714285,0.25,2024-05-20,35,20,True
33,20,7,0.21212121212121213,0.35,2024-05-21,45,20,True
32,20,8,0.25,0.4,2024-05-22,35,20,True
46,20,10,0.3333333333333333,0.5,2024-05-23,62,20,True
20,20,8,0.25,0.4,2024-05-24,32,20,True
43,20,8,0.25,0.4,2024-05-28,79,20,True
34,20,8,0.25,0.4,2024-05-29,59,20,True
30,20,9,0.2903225806451613,0.45,2024-05-30,34,20,True
36,20,9,0.2903225806451613,0.45,2024-05-31,31,20,True
53,20,5,0.14285714285714285,0.25,2024-06-03,73,20,True
45,20,8,0.25,0.4,2024-06-04,45,20,True
34,20,11,0.3793103448275862,0.55,2024-06-05,38,20,True
33,20,9,0.2903225806451613,0.45,2024-06-06,35,20,True
30,20,8,0.25,0.4,2024-06-07,30,20,True
41,20,9,0.2903225806451613,0.45,2024-06-10,43,20,True
30,20,11,0.3793103448275862,0.55,2024-06-11,38,20,True
43,20,11,0.3793103448275862,0.55,2024-06-12,87,20,True
38,20,13,0.48148148148148145,0.65,2024-06-13,62,20,True
34,20,7,0.21212121212121213,0.35,2024-06-14,39,20,True
55,20,8,0.25,0.4,2024-06-17,49,20,True
32,20,8,0.25,0.4,2024-06-18,40,20,True
46,20,10,0.3333333333333333,0.5,2024-06-20,87,20,True
24,20,6,0.17647058823529413,0.3,2024-06-21,117,20,True
35,20,8,0.25806451612903225,0.4,2024-06-24,19,19,True
51,20,8,0.25,0.4,2024-06-25,29,20,True
25,20,5,0.14285714285714285,0.25,2024-06-26,21,20,True
42,20,8,0.25,0.4,2024-06-27,20,20,True
41,20,8,0.25,0.4,2024-06-28,29,20,True
30,20,7,0.21212121212121213,0.35,2024-07-01,24,20,True
24,20,8,0.3076923076923077,0.4,2024-07-02,14,14,True
20,20,6,0.2727272727272727,0.3,2024-07-03,8,8,True
26,20,5,0.1724137931034483,0.25,2024-07-05,14,14,True
33,20,8,0.25,0.4,2024-07-08,23,20,True
27,20,7,0.22580645161290322,0.35,2024-07-09,18,18,True
23,20,6,0.17647058823529413,0.3,2024-07-10,22,20,True
41,20,8,0.25,0.4,2024-07-11,38,20,True
36,20,9,0.2903225806451613,0.45,2024-07-12,28,20,True
40,20,9,0.2903225806451613,0.45,2024-07-15,70,20,True
33,20,12,0.42857142857142855,0.6,2024-07-16,44,20,True
67,20,10,0.3333333333333333,0.5,2024-07-17,89,20,True
36,20,8,0.25,0.4,2024-07-18,55,20,True
27,20,5,0.14285714285714285,0.25,2024-07-19,114,20,True
39,20,11,0.3793103448275862,0.55,2024-07-22,35,20,True
27,20,11,0.3793103448275862,0.55,2024-07-23,27,20,True
33,20,12,0.42857142857142855,0.6,2024-07-24,43,20,True
52,20,9,0.2903225806451613,0.45,2024-07-25,53,20,True
42,20,13,0.48148148148148145,0.65,2024-07-26,38,20,True
33,20,10,0.3333333333333333,0.5,2024-07-29,33,20,True
24,20,10,0.3333333333333333,0.5,2024-07-30,22,20,True
59,20,13,0.48148148148148145,0.65,2024-07-31,66,20,True
31,20,11,0.3793103448275862,0.55,2024-08-01,46,20,True
79,20,10,0.3333333333333333,0.5,2024-08-02,104,20,True
83,20,8,0.25,0.4,2024-08-05,117,20,True
28,20,9,0.2903225806451613,0.45,2024-08-06,34,20,True
29,20,12,0.42857142857142855,0.6,2024-08-07,28,20,True
21,20,8,0.36363636363636365,0.4,2024-08-08,10,10,True
23,20,4,0.17391304347826086,0.2,2024-08-09,7,7,True
18,18,11,0.4074074074074074,0.55,2024-08-12,23,20,True
25,20,12,0.5,0.6,2024-08-13,16,16,True
32,20,12,0.42857142857142855,0.6,2024-08-14,22,20,True
36,20,15,0.6,0.75,2024-08-15,51,20,True
17,17,6,0.1935483870967742,0.3,2024-08-16,88,20,True
18,18,5,0.19230769230769232,0.2777777777777778,2024-08-19,13,13,True
17,17,9,0.4090909090909091,0.5294117647058824,2024-08-20,14,14,True
20,20,6,0.24,0.3,2024-08-21,11,11,True
19,19,6,0.23076923076923078,0.3157894736842105,2024-08-22,13,13,True
14,14,4,0.21052631578947367,0.2857142857142857,2024-08-23,9,9,True
29,20,10,0.3333333333333333,0.5,2024-08-26,35,20,True
25,20,8,0.25,0.4,2024-08-27,25,20,True
26,20,10,0.3333333333333333,0.5,2024-08-28,21,20,True
43,20,11,0.3793103448275862,0.55,2024-08-29,54,20,True
38,20,8,0.25,0.4,2024-08-30,34,20,True
49,20,10,0.3333333333333333,0.5,2024-09-03,92,20,True
47,20,8,0.25,0.4,2024-09-04,75,20,True
50,20,9,0.2903225806451613,0.45,2024-09-05,56,20,True
38,20,10,0.3333333333333333,0.5,2024-09-06,33,20,True
58,20,10,0.3333333333333333,0.5,2024-09-09,78,20,True
39,20,11,0.3793103448275862,0.55,2024-09-10,54,20,True
48,20,7,0.21212121212121213,0.35,2024-09-11,68,20,True
47,20,13,0.48148148148148145,0.65,2024-09-12,47,20,True
42,20,11,0.3793103448275862,0.55,2024-09-13,51,20,True
58,20,9,0.2903225806451613,0.45,2024-09-16,83,20,True
31,20,10,0.3333333333333333,0.5,2024-09-17,39,20,True
30,20,10,0.3333333333333333,0.5,2024-09-18,29,20,True
67,20,7,0.21212121212121213,0.35,2024-09-19,88,20,True
56,20,4,0.1111111111111111,0.2,2024-09-20,118,20,True
44,20,11,0.3793103448275862,0.55,2024-09-23,32,20,True
47,20,13,0.48148148148148145,0.65,2024-09-24,29,20,True
40,20,8,0.27586206896551724,0.4,2024-09-25,17,17,True
54,20,14,0.5384615384615384,0.7,2024-09-26,59,20,True
27,20,7,0.2692307692307692,0.35,2024-09-27,13,13,True
41,20,12,0.42857142857142855,0.6,2024-09-30,22,20,True
32,20,7,0.21212121212121213,0.35,2024-10-01,20,20,True
38,20,14,0.5384615384615384,0.7,2024-10-02,24,20,True
27,20,5,0.21739130434782608,0.25,2024-10-03,8,8,True
45,20,10,0.3333333333333333,0.5,2024-10-04,38,20,True
42,20,10,0.3333333333333333,0.5,2024-10-07,22,20,True
38,20,7,0.21212121212121213,0.35,2024-10-08,24,20,True
22,20,6,0.23076923076923078,0.3,2024-10-09,12,12,True
32,20,10,0.3333333333333333,0.5,2024-10-10,20,20,True
30,20,11,0.3793103448275862,0.55,2024-10-11,33,20,True
21,20,12,0.42857142857142855,0.6,2024-10-14,36,20,True
52,20,12,0.42857142857142855,0.6,2024-10-15,72,20,True
31,20,13,0.48148148148148145,0.65,2024-10-16,48,20,True
48,20,12,0.42857142857142855,0.6,2024-10-17,71,20,True
29,20,8,0.25,0.4,2024-10-18,111,20,True
30,20,10,0.3333333333333333,0.5,2024-10-21,35,20,True
36,20,12,0.42857142857142855,0.6,2024-10-22,42,20,True
30,20,14,0.5384615384615384,0.7,2024-10-23,36,20,True
38,20,10,0.3333333333333333,0.5,2024-10-24,40,20,True
32,20,15,0.6,0.75,2024-10-25,23,20,True
33,20,13,0.48148148148148145,0.65,2024-10-28,36,20,True
30,20,9,0.2903225806451613,0.45,2024-10-29,33,20,True
33,20,15,0.6,0.75,2024-10-30,32,20,True
42,20,13,0.48148148148148145,0.65,2024-10-31,52,20,True
39,20,12,0.42857142857142855,0.6,2024-11-01,38,20,True
34,20,12,0.42857142857142855,0.6,2024-11-04,44,20,True
16,16,6,0.23076923076923078,0.375,2024-11-05,16,16,True
96,20,14,0.5384615384615384,0.7,2024-11-06,114,20,True
44,20,10,0.3333333333333333,0.5,2024-11-07,54,20,True
40,20,7,0.21212121212121213,0.35,2024-11-08,35,20,True
37,20,13,0.48148148148148145,0.65,2024-11-11,58,20,True
36,20,10,0.3333333333333333,0.5,2024-11-12,30,20,True
28,20,12,0.42857142857142855,0.6,2024-11-13,27,20,True
44,20,13,0.48148148148148145,0.65,2024-11-14,44,20,True
42,20,10,0.3333333333333333,0.5,2024-11-15,111,20,True
42,20,12,0.42857142857142855,0.6,2024-11-18,32,20,True
26,20,11,0.3793103448275862,0.55,2024-11-19,27,20,True
31,20,13,0.48148148148148145,0.65,2024-11-20,23,20,True
45,20,9,0.2903225806451613,0.45,2024-11-21,41,20,True
39,20,9,0.2903225806451613,0.45,2024-11-22,38,20,True
52,20,9,0.2903225806451613,0.45,2024-11-25,70,20,True
40,20,8,0.25,0.4,2024-11-26,37,20,True
18,18,8,0.27586206896551724,0.42105263157894735,2024-11-27,19,19,True
28,20,9,0.3333333333333333,0.45,2024-11-29,16,16,True
50,20,9,0.2903225806451613,0.45,2024-12-02,42,20,True
25,20,12,0.42857142857142855,0.6,2024-12-03,35,20,True
43,20,12,0.42857142857142855,0.6,2024-12-04,51,20,True
40,20,11,0.3793103448275862,0.55,2024-12-05,38,20,True
28,20,11,0.3793103448275862,0.55,2024-12-06,27,20,True
58,20,12,0.42857142857142855,0.6,2024-12-09,76,20,True
48,20,11,0.3793103448275862,0.55,2024-12-10,50,20,True
46,20,11,0.3793103448275862,0.55,2024-12-11,46,20,True
45,20,8,0.25,0.4,2024-12-12,47,20,True
37,20,11,0.3793103448275862,0.55,2024-12-13,41,20,True
64,20,8,0.25,0.4,2024-12-16,83,20,True
64,20,9,0.2903225806451613,0.45,2024-12-17,80,20,True
46,20,10,0.3333333333333333,0.5,2024-12-18,48,20,True
81,20,7,0.21212121212121213,0.35,2024-12-19,107,20,True
41,20,1,0.02564102564102564,0.05,2024-12-20,126,20,True
36,20,8,0.2962962962962963,0.4,2024-12-23,15,15,True
17,17,3,0.16666666666666666,0.17647058823529413,2024-12-24,4,4,True
10,10,2,0.2,0.2,2024-12-26,2,2,True
11,11,1,0.07692307692307693,0.09090909090909091,2024-12-27,3,3,True
28,20,7,0.30434782608695654,0.35,2024-12-30,10,10,True
9,9,1,0.08333333333333333,0.1111111111111111,2024-12-31,4,4,True
29,20,4,0.1111111111111111,0.2,2025-01-02,23,20,True
22,20,6,0.23076923076923078,0.3,2025-01-03,12,12,True
50,20,11,0.3793103448275862,0.55,2025-01-06,42,20,True
41,20,9,0.2903225806451613,0.45,2025-01-07,32,20,True
45,20,10,0.3333333333333333,0.5,2025-01-08,21,20,True
79,20,8,0.25,0.4,2025-01-10,78,20,True
67,20,9,0.2903225806451613,0.45,2025-01-13,48,20,True
42,20,8,0.25,0.4,2025-01-14,30,20,True
76,20,12,0.42857142857142855,0.6,2025-01-15,96,20,True
42,20,11,0.3793103448275862,0.55,2025-01-16,58,20,True
57,20,5,0.14285714285714285,0.25,2025-01-17,130,20,True
59,20,9,0.2903225806451613,0.45,2025-01-21,72,20,True
50,20,13,0.48148148148148145,0.65,2025-01-22,57,20,True
38,20,13,0.48148148148148145,0.65,2025-01-23,24,20,True
33,20,12,0.4444444444444444,0.6,2025-01-24,19,19,True
78,20,10,0.3333333333333333,0.5,2025-01-27,91,20,True
39,20,13,0.48148148148148145,0.65,2025-01-28,31,20,True
34,20,9,0.375,0.45,2025-01-29,13,13,True
