symbol,session_date,scenario,cost_model,reason
PG,2024-01-02,research_fidelity,zero,max_gross_exposure
XLC,2024-01-02,research_fidelity,zero,max_gross_exposure
INTC,2024-01-02,research_fidelity,zero,max_gross_exposure
PLTR,2024-01-02,research_fidelity,zero,max_gross_exposure
NET,2024-01-02,research_fidelity,zero,max_gross_exposure
IBB,2024-01-02,research_fidelity,zero,max_gross_exposure
ARM,2024-01-02,research_fidelity,zero,max_gross_exposure
MDT,2024-01-02,research_fidelity,zero,max_gross_exposure
XLK,2024-01-02,research_fidelity,zero,max_gross_exposure
GM,2024-01-02,research_fidelity,zero,max_gross_exposure
AAPL,2024-01-02,research_fidelity,zero,max_gross_exposure
CMCSA,2024-01-02,research_fidelity,zero,max_gross_exposure
IWM,2024-01-02,research_fidelity,zero,max_gross_exposure
DVN,2024-01-02,research_fidelity,zero,max_gross_exposure
COP,2024-01-02,research_fidelity,zero,max_gross_exposure
QCOM,2024-01-02,research_fidelity,zero,max_gross_exposure
MA,2024-01-02,research_fidelity,zero,max_gross_exposure
CVX,2024-01-02,research_fidelity,zero,max_gross_exposure
HON,2024-01-02,research_fidelity,zero,max_gross_exposure
PG,2024-01-02,research_fidelity,baseline,max_gross_exposure
XLC,2024-01-02,research_fidelity,baseline,max_gross_exposure
INTC,2024-01-02,research_fidelity,baseline,max_gross_exposure
PLTR,2024-01-02,research_fidelity,baseline,max_gross_exposure
NET,2024-01-02,research_fidelity,baseline,max_gross_exposure
IBB,2024-01-02,research_fidelity,baseline,max_gross_exposure
ARM,2024-01-02,research_fidelity,baseline,max_gross_exposure
MDT,2024-01-02,research_fidelity,baseline,max_gross_exposure
XLK,2024-01-02,research_fidelity,baseline,max_gross_exposure
GM,2024-01-02,research_fidelity,baseline,max_gross_exposure
AAPL,2024-01-02,research_fidelity,baseline,max_gross_exposure
CMCSA,2024-01-02,research_fidelity,baseline,max_gross_exposure
IWM,2024-01-02,research_fidelity,baseline,max_gross_exposure
DVN,2024-01-02,research_fidelity,baseline,max_gross_exposure
COP,2024-01-02,research_fidelity,baseline,max_gross_exposure
QCOM,2024-01-02,research_fidelity,baseline,max_gross_exposure
MA,2024-01-02,research_fidelity,baseline,max_gross_exposure
CVX,2024-01-02,research_fidelity,baseline,max_gross_exposure
HON,2024-01-02,research_fidelity,baseline,max_gross_exposure
PG,2024-01-02,research_fidelity,stressed,max_gross_exposure
XLC,2024-01-02,research_fidelity,stressed,max_gross_exposure
INTC,2024-01-02,research_fidelity,stressed,max_gross_exposure
PLTR,2024-01-02,research_fidelity,stressed,max_gross_exposure
NET,2024-01-02,research_fidelity,stressed,max_gross_exposure
IBB,2024-01-02,research_fidelity,stressed,max_gross_exposure
ARM,2024-01-02,research_fidelity,stressed,max_gross_exposure
MDT,2024-01-02,research_fidelity,stressed,max_gross_exposure
XLK,2024-01-02,research_fidelity,stressed,max_gross_exposure
GM,2024-01-02,research_fidelity,stressed,max_gross_exposure
AAPL,2024-01-02,research_fidelity,stressed,max_gross_exposure
CMCSA,2024-01-02,research_fidelity,stressed,max_gross_exposure
IWM,2024-01-02,research_fidelity,stressed,max_gross_exposure
DVN,2024-01-02,research_fidelity,stressed,max_gross_exposure
COP,2024-01-02,research_fidelity,stressed,max_gross_exposure
QCOM,2024-01-02,research_fidelity,stressed,max_gross_exposure
MA,2024-01-02,research_fidelity,stressed,max_gross_exposure
CVX,2024-01-02,research_fidelity,stressed,max_gross_exposure
HON,2024-01-02,research_fidelity,stressed,max_gross_exposure
NET,2024-01-02,intended_deployment,zero,max_concurrent_positions
IBB,2024-01-02,intended_deployment,zero,max_concurrent_positions
ARM,2024-01-02,intended_deployment,zero,max_concurrent_positions
MDT,2024-01-02,intended_deployment,zero,max_concurrent_positions
XLK,2024-01-02,intended_deployment,zero,max_concurrent_positions
GM,2024-01-02,intended_deployment,zero,max_concurrent_positions
AAPL,2024-01-02,intended_deployment,zero,max_concurrent_positions
CMCSA,2024-01-02,intended_deployment,zero,max_concurrent_positions
IWM,2024-01-02,intended_deployment,zero,max_concurrent_positions
DVN,2024-01-02,intended_deployment,zero,max_concurrent_positions
COP,2024-01-02,intended_deployment,zero,max_concurrent_positions
QCOM,2024-01-02,intended_deployment,zero,max_concurrent_positions
MA,2024-01-02,intended_deployment,zero,max_concurrent_positions
CVX,2024-01-02,intended_deployment,zero,max_concurrent_positions
HON,2024-01-02,intended_deployment,zero,max_concurrent_positions
NET,2024-01-02,intended_deployment,baseline,max_concurrent_positions
IBB,2024-01-02,intended_deployment,baseline,max_concurrent_positions
ARM,2024-01-02,intended_deployment,baseline,max_concurrent_positions
MDT,2024-01-02,intended_deployment,baseline,max_concurrent_positions
XLK,2024-01-02,intended_deployment,baseline,max_concurrent_positions
GM,2024-01-02,intended_deployment,baseline,max_concurrent_positions
AAPL,2024-01-02,intended_deployment,baseline,max_concurrent_positions
CMCSA,2024-01-02,intended_deployment,baseline,max_concurrent_positions
IWM,2024-01-02,intended_deployment,baseline,max_concurrent_positions
DVN,2024-01-02,intended_deployment,baseline,max_concurrent_positions
COP,2024-01-02,intended_deployment,baseline,max_concurrent_positions
QCOM,2024-01-02,intended_deployment,baseline,max_concurrent_positions
MA,2024-01-02,intended_deployment,baseline,max_concurrent_positions
CVX,2024-01-02,intended_deployment,baseline,max_concurrent_positions
HON,2024-01-02,intended_deployment,baseline,max_concurrent_positions
NET,2024-01-02,intended_deployment,stressed,max_concurrent_positions
IBB,2024-01-02,intended_deployment,stressed,max_concurrent_positions
ARM,2024-01-02,intended_deployment,stressed,max_concurrent_positions
MDT,2024-01-02,intended_deployment,stressed,max_concurrent_positions
XLK,2024-01-02,intended_deployment,stressed,max_concurrent_positions
GM,2024-01-02,intended_deployment,stressed,max_concurrent_positions
AAPL,2024-01-02,intended_deployment,stressed,max_concurrent_positions
CMCSA,2024-01-02,intended_deployment,stressed,max_concurrent_positions
IWM,2024-01-02,intended_deployment,stressed,max_concurrent_positions
DVN,2024-01-02,intended_deployment,stressed,max_concurrent_positions
COP,2024-01-02,intended_deployment,stressed,max_concurrent_positions
QCOM,2024-01-02,intended_deployment,stressed,max_concurrent_positions
MA,2024-01-02,intended_deployment,stressed,max_concurrent_positions
CVX,2024-01-02,intended_deployment,stressed,max_concurrent_positions
HON,2024-01-02,intended_deployment,stressed,max_concurrent_positions
PG,2024-01-03,research_fidelity,zero,max_gross_exposure
KO,2024-01-03,research_fidelity,zero,max_gross_exposure
DE,2024-01-03,research_fidelity,zero,max_gross_exposure
SCHW,2024-01-03,research_fidelity,zero,max_gross_exposure
CRWD,2024-01-03,research_fidelity,zero,max_gross_exposure
QQQ,2024-01-03,research_fidelity,zero,max_gross_exposure
AMD,2024-01-03,research_fidelity,zero,max_gross_exposure
MRNA,2024-01-03,research_fidelity,zero,max_gross_exposure
MRK,2024-01-03,research_fidelity,zero,max_gross_exposure
NEM,2024-01-03,research_fidelity,zero,max_gross_exposure
DIS,2024-01-03,research_fidelity,zero,max_gross_exposure
XLP,2024-01-03,research_fidelity,zero,max_gross_exposure
MO,2024-01-03,research_fidelity,zero,max_gross_exposure
MDLZ,2024-01-03,research_fidelity,zero,max_gross_exposure
XLI,2024-01-03,research_fidelity,zero,max_gross_exposure
RTX,2024-01-03,research_fidelity,zero,max_gross_exposure
LLY,2024-01-03,research_fidelity,zero,max_gross_exposure
AMT,2024-01-03,research_fidelity,zero,max_gross_exposure
XLRE,2024-01-03,research_fidelity,zero,max_gross_exposure
NET,2024-01-03,research_fidelity,baseline,max_gross_exposure
KO,2024-01-03,research_fidelity,baseline,max_gross_exposure
DE,2024-01-03,research_fidelity,baseline,max_gross_exposure
SCHW,2024-01-03,research_fidelity,baseline,max_gross_exposure
CRWD,2024-01-03,research_fidelity,baseline,max_gross_exposure
QQQ,2024-01-03,research_fidelity,baseline,max_gross_exposure
AMD,2024-01-03,research_fidelity,baseline,max_gross_exposure
MRNA,2024-01-03,research_fidelity,baseline,max_gross_exposure
MRK,2024-01-03,research_fidelity,baseline,max_gross_exposure
NEM,2024-01-03,research_fidelity,baseline,max_gross_exposure
DIS,2024-01-03,research_fidelity,baseline,max_gross_exposure
XLP,2024-01-03,research_fidelity,baseline,max_gross_exposure
MO,2024-01-03,research_fidelity,baseline,max_gross_exposure
MDLZ,2024-01-03,research_fidelity,baseline,max_gross_exposure
XLI,2024-01-03,research_fidelity,baseline,max_gross_exposure
RTX,2024-01-03,research_fidelity,baseline,max_gross_exposure
LLY,2024-01-03,research_fidelity,baseline,max_gross_exposure
AMT,2024-01-03,research_fidelity,baseline,max_gross_exposure
XLRE,2024-01-03,research_fidelity,baseline,max_gross_exposure
NET,2024-01-03,research_fidelity,stressed,max_gross_exposure
KO,2024-01-03,research_fidelity,stressed,max_gross_exposure
DE,2024-01-03,research_fidelity,stressed,max_gross_exposure
SCHW,2024-01-03,research_fidelity,stressed,max_gross_exposure
CRWD,2024-01-03,research_fidelity,stressed,max_gross_exposure
QQQ,2024-01-03,research_fidelity,stressed,max_gross_exposure
AMD,2024-01-03,research_fidelity,stressed,max_gross_exposure
MRNA,2024-01-03,research_fidelity,stressed,max_gross_exposure
MRK,2024-01-03,research_fidelity,stressed,max_gross_exposure
NEM,2024-01-03,research_fidelity,stressed,max_gross_exposure
DIS,2024-01-03,research_fidelity,stressed,max_gross_exposure
XLP,2024-01-03,research_fidelity,stressed,max_gross_exposure
MO,2024-01-03,research_fidelity,stressed,max_gross_exposure
