timestamp,event,symbol,delta,reserved_total
2022-01-03 16:16:00,reserve,BKNG,19942.86,19942.86
2022-01-03 16:16:00,reserve,DIS,19947.89,39890.75
2022-01-03 16:35:00,release,DIS,-19947.89,19942.86
2022-01-04 14:30:00,release,BKNG,-19942.86,0.0
2022-01-04 16:16:00,reserve,MA,19956.620000000003,19956.620000000003
2022-01-04 16:16:00,reserve,V,19863.02,39819.64
2022-01-05 14:30:00,release,MA,-19956.620000000003,19863.019999999997
2022-01-05 14:32:00,release,V,-19863.02,-3.637978807091713e-12
2022-01-05 16:16:00,reserve,GLD,19928.61,19928.609999999997
2022-01-05 16:16:00,reserve,SPG,19944.43,39873.03999999999
2022-01-05 19:08:00,release,GLD,-19928.61,19944.429999999993
2022-01-05 19:34:00,release,SPG,-19944.43,-7.275957614183426e-12
2022-01-06 16:16:00,reserve,C,19942.3,19942.299999999992
2022-01-06 16:16:00,reserve,DVN,19949.05,39891.34999999999
2022-01-07 16:16:00,reserve,BAC,19999.8,59891.149999999994
2022-01-07 16:16:00,reserve,XLF,20009.88,79901.03
2022-01-10 14:30:00,release,DVN,-19949.05,59951.979999999996
2022-01-10 14:30:00,release,BAC,-19999.8,39952.17999999999
2022-01-10 14:30:00,release,XLF,-20009.88,19942.299999999992
2022-01-10 16:16:00,reserve,LMT,20073.35,40015.649999999994
2022-01-10 16:16:00,reserve,COF,20028.54,60044.189999999995
2022-01-10 20:06:00,release,LMT,-20073.35,39970.84
2022-01-11 16:16:00,reserve,SLB,20186.72,60157.56
2022-01-11 16:16:00,reserve,CVX,20112.0,80269.56
2022-01-12 14:30:00,release,COF,-20028.54,60241.02
2022-01-12 16:16:00,reserve,EOG,20199.96,80440.98
2022-01-12 16:16:00,reserve,BA,20079.92,100520.9
2022-01-13 14:30:00,release,EOG,-20199.96,80320.94
2022-01-13 14:32:00,release,BA,-20079.92,60241.020000000004
2022-01-13 16:16:00,reserve,GM,20294.09,80535.11
2022-01-13 16:16:00,reserve,XLB,20349.12,100884.23
2022-01-13 20:35:00,release,XLB,-20349.12,80535.11
2022-01-13 20:36:00,release,GM,-20294.09,60241.020000000004
2022-01-14 16:16:00,reserve,PEP,20112.35,80353.37
2022-01-14 16:16:00,reserve,KHC,20260.8,100614.17
2022-01-18 14:30:00,release,PEP,-20112.35,80501.82
2022-01-18 14:33:00,release,KHC,-20260.8,60241.020000000004
2022-01-18 16:16:00,reserve,COP,20212.5,80453.52
2022-01-18 16:16:00,reserve,OXY,20255.2,100708.72
2022-01-18 17:01:00,release,OXY,-20255.2,80453.52
2022-01-18 17:32:00,release,COP,-20212.5,60241.020000000004
2022-01-19 15:30:00,release,C,-19942.3,40298.72
2022-01-20 16:16:00,reserve,VZ,20083.8,60382.520000000004
2022-01-20 16:16:00,reserve,MDLZ,20107.28,80489.8
2022-01-21 14:49:00,release,MDLZ,-20107.28,60382.520000000004
2022-01-21 16:16:00,reserve,PEP,20107.32,80489.84
2022-01-21 16:16:00,reserve,KO,20143.2,100633.04
2022-01-21 16:41:00,release,PEP,-20107.32,80525.72
2022-01-21 17:02:00,release,VZ,-20083.8,60441.92
2022-01-21 17:05:00,release,KO,-20143.2,40298.72
2022-01-24 14:30:00,release,SLB,-20186.72,20112.0
2022-01-24 14:30:00,release,CVX,-20112.0,0.0
2022-01-25 16:16:00,reserve,GLD,20008.84,20008.84
2022-01-26 14:30:00,release,GLD,-20008.84,0.0
2022-01-26 16:16:00,reserve,COP,20064.98,20064.98
2022-01-26 16:16:00,reserve,CVX,20011.5,40076.479999999996
2022-01-26 20:23:00,release,CVX,-20011.5,20064.979999999996
2022-01-27 16:16:00,reserve,VRTX,19903.84,39968.81999999999
2022-01-27 16:16:00,reserve,XOM,20064.38,60033.2
2022-01-27 17:48:00,release,XOM,-20064.38,39968.81999999999
2022-01-27 18:07:00,release,COP,-20064.98,19903.839999999993
2022-01-28 14:30:00,release,VRTX,-19903.84,-7.275957614183426e-12
2022-01-28 16:16:00,reserve,VRTX,19855.15,19855.149999999994
2022-01-28 16:16:00,reserve,SLB,19884.69,39739.84
2022-01-28 19:30:00,release,SLB,-19884.69,19855.149999999998
2022-02-01 16:16:00,reserve,MS,19749.4,39604.55
2022-02-02 14:42:00,release,MS,-19749.4,19855.15
2022-02-02 16:16:00,reserve,GOOGL,19815.3,39670.45
2022-02-02 16:16:00,reserve,ABBV,19718.27,59388.72
2022-02-02 18:36:00,release,ABBV,-19718.27,39670.45
2022-02-03 14:30:00,release,GOOGL,-19815.3,19855.149999999998
2022-02-03 16:16:00,reserve,ABBV,19773.84,39628.99
2022-02-03 16:16:00,reserve,CVS,19706.4,59335.39
2022-02-04 14:30:00,release,CVS,-19706.4,39628.99
2022-02-04 15:37:00,release,ABBV,-19773.84,19855.149999999998
2022-02-04 16:16:00,reserve,OXY,19711.38,39566.53
2022-02-04 16:16:00,reserve,AXP,19584.6,59151.13
2022-02-07 14:30:00,release,OXY,-19711.38,39439.75
