symbol,mfe_r,mae_r,missing,net_pnl,group
BKNG,3.843749999999966,0.20833333333333456,False,414.53894999999983,winner
DIS,0.0206185567010122,0.9381443298969048,False,-125.28740500000158,loser
MA,0.9973404255319023,0.18882978723404983,False,-44.20147000000193,loser
V,1.2596685082872918,0.11602209944751807,False,-16.189100000000707,loser
GLD,0.40740740740738984,1.0925925925925575,False,-83.07702000000239,loser
SPG,0.3515151515151407,1.0121212121212182,False,-219.4946050000007,loser
C,0.3333333333333333,0.4090909090909052,False,-102.05122500000016,loser
DVN,1.7142857142857195,0.25510204081632737,False,249.66607499999944,winner
BAC,2.46730769230768,0.10576923076922959,False,408.23802500000073,winner
XLF,2.3749999999999813,0.2916666666666654,False,229.27009499999903,winner
LMT,0.8953488372092835,0.25290697674418333,False,-66.75212500000126,loser
COF,2.428571428571446,0.22857142857142432,False,521.5005600000022,winner
SLB,0.0,0.5681818181818211,False,-127.91075999999872,loser
CVX,0.3684210526315719,0.35789473684210776,False,28.063999999999545,winner
EOG,1.0335820895522403,0.7686567164179174,False,-53.76987000000034,loser
BA,2.8321428571428613,0.06491596638656019,False,555.7361430000007,winner
GM,0.6555555555555603,0.9643333333333335,False,-297.9222799999998,loser
XLB,0.14814814814814717,1.0,False,-142.0582349999982,loser
PEP,1.0686274509804146,1.205882352941188,False,-48.843375,loser
KHC,1.3148148148148227,0.22222222222223392,False,-1.4914200000018276,loser
COP,0.17482517482517398,0.6713286713286737,False,-237.1307400000028,loser
OXY,0.14084507042253705,0.7746478873239387,False,-283.18919999999935,loser
VZ,0.4878048780487657,1.0,False,-173.3471300000014,loser
MDLZ,2.06730769230763,0.44230769230769124,False,296.463239999998,winner
PEP,0.0833333333333421,0.8222222222222147,False,-145.41611999999935,loser
KO,0.1351351351351284,0.9459459459459564,False,-135.57885000000047,loser
GLD,0.9427142857142531,1.642857142857111,False,-45.516079999999874,loser
COP,1.3377483443708538,0.8344370860927158,False,28.00097499999857,winner
CVX,0.41317365269461254,1.029940119760486,False,-270.38624999999814,loser
VRTX,0.10439560439560354,1.1704945054945128,False,-332.78731999999883,loser
XOM,0.2500000000000074,0.8020833333333225,False,-211.42477999999969,loser
VRTX,0.24661246612466048,0.09756097560975985,False,43.862975,winner
SLB,0.17500000000000132,0.9875000000000025,False,-395.421765,loser
MS,0.8695652173913001,0.46086956521739003,False,-86.54687499999892,loser
GOOGL,1.5470383275261292,0.14634146341462956,False,157.0839750000003,winner
ABBV,0.32627118644068437,0.9533898305084806,False,-319.83093999999915,loser
ABBV,1.213270142180088,0.36018957345972247,False,-115.60590000000096,loser
CVS,0.4583333333333299,1.8455882352941064,False,-133.42972500000133,loser
OXY,0.6644736842105221,1.0526315789473768,False,-336.9645500000018,loser
AXP,2.264590909090893,0.5717727272727258,False,495.9817852499981,winner
BMY,1.4882558139535034,0.45348837209302423,False,141.17452000000188,winner
CVX,0.7808219178082403,0.3767123287671169,False,-83.50522999999839,loser
MS,2.134020618556711,0.6082474226804166,False,359.46702499999947,winner
SCHW,2.058252427184468,0.019417475728151456,False,406.7487900000005,winner
AMD,1.1293103448275914,0.9568965517241402,False,-9.237375000001045,loser
BA,0.7555555555555631,0.5711111111111096,False,-126.44479999999967,loser
CRWD,0.678260869565213,0.8695652173913054,False,-410.641920000002,loser
NET,0.660592255125286,1.0136674259681098,False,-743.8241250000001,loser
OXY,2.171641791044768,0.12343283582089917,False,664.474519999998,winner
C,0.12820512820513896,1.0256410256410204,False,-241.80540000000036,loser
MU,0.2978260869565231,0.6934782608695655,False,-315.7489750000011,loser
MU,0.9780219780219823,0.42307692307692246,False,-90.3864000000007,loser
DIS,1.4647887323943385,0.15492957746479286,False,99.31839999999724,winner
AXP,0.5815217391304455,2.2218478260869525,False,-201.71844000000036,loser
ABBV,0.260683760683763,1.1288034188034175,False,-177.55942500000214,loser
DVN,0.26153846153845783,1.0461538461538422,False,-480.8546000000016,loser
AMZN,0.26341463414633975,1.0243902439024448,False,-273.6772999999979,loser
COST,0.5610859728506808,1.0701357466063222,False,-166.25690999999856,loser
VZ,1.342857142857134,0.8,False,9.58319999999938,winner
VZ,0.1351351351351284,1.027027027027041,False,-152.54819999999907,loser
ABBV,0.8733333333333348,0.2485999999999914,False,-46.75848499999732,loser
GLD,6.366197183098494,0.3802816901408552,False,137.47079999999974,winner
GLD,0.06629834254143889,0.9668508287292805,False,-180.72567499999903,loser
NEM,0.12789855072464124,1.0144927536231958,False,-409.7613599999987,loser
RTX,1.2896825396825344,0.20238095238095358,False,169.687264999999,winner
FCX,0.17777777777778217,1.0,False,-379.1919999999994,loser
XLE,2.0,0.9245283018867942,False,556.9635200000013,winner
XOM,1.0746268656716373,0.20895522388059734,False,-40.978435000000815,loser
XLU,2.0000000000000275,0.11538461538462064,False,276.8661000000018,winner
COST,1.1834932821497142,2.5412667946257037,False,-22.327740000001143,loser
ISRG,1.8257756563245915,0.551312649164665,False,120.37317500000222,winner
COP,1.675862068965535,0.9172413793103509,False,-7.700549999999552,loser
EOG,0.049751243781091574,1.0199004975124337,False,-343.22454,loser
COP,0.12017167381974307,1.055793991416307,False,-459.5166449999997,loser
XLE,0.19444444444444553,1.0416666666666683,False,-384.21980999999937,loser
COST,0.0,0.8057285180572658,False,-210.84192500000032,loser
CAT,0.18856447688564684,0.8381751824817524,False,-318.110624999999,loser
OXY,0.5981308411214957,1.0467289719626174,False,-727.0514300000001,loser
COST,0.2714839797639159,0.5944519392917225,False,-140.39760174999975,loser
CAT,0.46747448979591183,0.9081632653061193,False,-324.06586500000174,loser
DE,0.4447949526813847,1.007886435331232,False,-316.4773200000015,loser
ABBV,1.896296296296306,0.474074074074087,False,72.8437999999976,winner
CVS,1.6824324324324245,0.43918918918919186,False,166.96852499999952,winner
LLY,1.8089171974522393,0.2515923566879057,False,105.81853999999892,winner
XLI,0.3181818181818211,1.0454545454545368,False,-183.28991999999917,loser
XLV,0.24509803921568382,1.098039215686268,False,-158.3084550000013,loser
AMZN,0.0,0.33846153846153376,False,-85.69707000000139,loser
TGT,2.0398550724637734,0.23550724637681442,False,455.6882000000009,winner
AMT,0.15969581749050063,0.9543726235741427,False,-200.17677999999896,loser
CI,0.24232081911263015,1.00511945392491,False,-244.1743150000005,loser
AMD,1.2920353982300863,0.7565929203539826,False,2.42951499999926,winner
XLB,1.3684210526315592,0.736842105263156,False,33.287799999998896,winner
DE,0.5295031055900573,0.8922981366459621,False,-177.9575600000002,loser
MO,1.1666666666666732,0.29629629629629045,False,59.4092799999996,winner
COP,1.4888888888888727,0.06666666666666878,False,-20.490300000000925,loser
