cost_model,mode,net_pnl,period,portfolio
zero,stock_only,0.0,2026,current_1pct
baseline,stock_only,0.0,2026,current_1pct
stressed,stock_only,0.0,2026,current_1pct
zero,stock_only,0.0,2026,safe_0_25pct
baseline,stock_only,0.0,2026,safe_0_25pct
stressed,stock_only,0.0,2026,safe_0_25pct
zero,crypto_weekends,0.0,2026,current_1pct
baseline,crypto_weekends,0.0,2026,current_1pct
stressed,crypto_weekends,0.0,2026,current_1pct
zero,crypto_weekends,0.0,2026,safe_0_25pct
baseline,crypto_weekends,0.0,2026,safe_0_25pct
stressed,crypto_weekends,0.0,2026,safe_0_25pct
zero,crypto_7day,5.751432124031416,2026,current_1pct
baseline,crypto_7day,-134.3301849667525,2026,current_1pct
stressed,crypto_7day,-194.36516371994563,2026,current_1pct
zero,crypto_7day,4.717506532904565,2026,safe_0_25pct
baseline,crypto_7day,-110.18186626929096,2026,safe_0_25pct
stressed,crypto_7day,-159.42445461308907,2026,safe_0_25pct
