date,market,reason,symbol
2022-01-01,crypto,pre-inception or indicator warmup,ARB-USD
2022-01-01,crypto,insufficient hourly data or BTC macro history,FET-USD
2022-01-01,crypto,insufficient hourly data or BTC macro history,INJ-USD
2022-01-01,crypto,insufficient hourly data or BTC macro history,JUP-USD
2022-01-01,crypto,insufficient hourly data or BTC macro history,OP-USD
2022-01-01,crypto,pre-inception or indicator warmup,PEPE-USD
2022-01-01,crypto,pre-inception or indicator warmup,POL-USD
2022-01-01,crypto,pre-inception or indicator warmup,RENDER-USD
2022-01-01,crypto,insufficient hourly data or BTC macro history,SEI-USD
2022-01-01,crypto,insufficient hourly data or BTC macro history,SUI-USD
2022-01-01,crypto,insufficient hourly data or BTC macro history,TAO-USD
2022-01-01,crypto,insufficient hourly data or BTC macro history,TON-USD
2022-01-01,crypto,pre-inception or indicator warmup,WIF-USD
2022-01-01,crypto,pre-inception or indicator warmup,XRP-USD
2022-01-02,crypto,pre-inception or indicator warmup,ARB-USD
2022-01-02,crypto,insufficient hourly data or BTC macro history,FET-USD
2022-01-02,crypto,insufficient hourly data or BTC macro history,INJ-USD
2022-01-02,crypto,insufficient hourly data or BTC macro history,JUP-USD
2022-01-02,crypto,insufficient hourly data or BTC macro history,OP-USD
2022-01-02,crypto,pre-inception or indicator warmup,PEPE-USD
2022-01-02,crypto,pre-inception or indicator warmup,POL-USD
2022-01-02,crypto,pre-inception or indicator warmup,RENDER-USD
2022-01-02,crypto,insufficient hourly data or BTC macro history,SEI-USD
2022-01-02,crypto,insufficient hourly data or BTC macro history,SUI-USD
2022-01-02,crypto,insufficient hourly data or BTC macro history,TAO-USD
2022-01-02,crypto,insufficient hourly data or BTC macro history,TON-USD
2022-01-02,crypto,pre-inception or indicator warmup,WIF-USD
2022-01-02,crypto,pre-inception or indicator warmup,XRP-USD
2022-01-03,stock,pre-inception or indicator warmup,ARM
2022-01-03,crypto,pre-inception or indicator warmup,ARB-USD
2022-01-03,crypto,insufficient hourly data or BTC macro history,FET-USD
2022-01-03,crypto,insufficient hourly data or BTC macro history,INJ-USD
2022-01-03,crypto,insufficient hourly data or BTC macro history,JUP-USD
2022-01-03,crypto,insufficient hourly data or BTC macro history,OP-USD
2022-01-03,crypto,pre-inception or indicator warmup,PEPE-USD
2022-01-03,crypto,pre-inception or indicator warmup,POL-USD
2022-01-03,crypto,pre-inception or indicator warmup,RENDER-USD
2022-01-03,crypto,insufficient hourly data or BTC macro history,SEI-USD
2022-01-03,crypto,insufficient hourly data or BTC macro history,SUI-USD
2022-01-03,crypto,insufficient hourly data or BTC macro history,TAO-USD
2022-01-03,crypto,insufficient hourly data or BTC macro history,TON-USD
2022-01-03,crypto,pre-inception or indicator warmup,WIF-USD
2022-01-03,crypto,pre-inception or indicator warmup,XRP-USD
2022-01-04,stock,pre-inception or indicator warmup,ARM
2022-01-04,crypto,pre-inception or indicator warmup,ARB-USD
2022-01-04,crypto,insufficient hourly data or BTC macro history,FET-USD
2022-01-04,crypto,insufficient hourly data or BTC macro history,INJ-USD
2022-01-04,crypto,insufficient hourly data or BTC macro history,JUP-USD
2022-01-04,crypto,insufficient hourly data or BTC macro history,OP-USD
2022-01-04,crypto,pre-inception or indicator warmup,PEPE-USD
2022-01-04,crypto,pre-inception or indicator warmup,POL-USD
2022-01-04,crypto,pre-inception or indicator warmup,RENDER-USD
2022-01-04,crypto,insufficient hourly data or BTC macro history,SEI-USD
2022-01-04,crypto,insufficient hourly data or BTC macro history,SUI-USD
2022-01-04,crypto,insufficient hourly data or BTC macro history,TAO-USD
2022-01-04,crypto,insufficient hourly data or BTC macro history,TON-USD
2022-01-04,crypto,pre-inception or indicator warmup,WIF-USD
