cost_model,date,mode,portfolio,reason,symbol
zero,2022-01-03,stock_only,current_1pct,max_new_trades_per_day,IWM
zero,2022-01-03,stock_only,current_1pct,max_new_trades_per_day,MA
zero,2022-01-03,stock_only,current_1pct,max_new_trades_per_day,RTX
zero,2022-01-03,stock_only,current_1pct,max_new_trades_per_day,TJX
zero,2022-01-04,stock_only,current_1pct,max_new_trades_per_day,DIS
zero,2022-01-04,stock_only,current_1pct,max_new_trades_per_day,XLP
zero,2022-01-05,stock_only,current_1pct,max_new_trades_per_day,KHC
zero,2022-01-05,stock_only,current_1pct,max_new_trades_per_day,UBER
zero,2022-01-05,stock_only,current_1pct,max_new_trades_per_day,CVS
zero,2022-01-05,stock_only,current_1pct,max_new_trades_per_day,PG
zero,2022-01-05,stock_only,current_1pct,max_new_trades_per_day,MRVL
zero,2022-01-06,stock_only,current_1pct,max_new_trades_per_day,MO
zero,2022-01-07,stock_only,current_1pct,already_held_or_pending,DVN
zero,2022-01-07,stock_only,current_1pct,max_new_trades_per_day,SLB
zero,2022-01-07,stock_only,current_1pct,max_new_trades_per_day,CVX
zero,2022-01-07,stock_only,current_1pct,max_new_trades_per_day,MRK
zero,2022-01-07,stock_only,current_1pct,max_new_trades_per_day,DIS
zero,2022-01-07,stock_only,current_1pct,max_new_trades_per_day,AXP
zero,2022-01-07,stock_only,current_1pct,max_new_trades_per_day,MO
zero,2022-01-07,stock_only,current_1pct,max_new_trades_per_day,T
zero,2022-01-07,stock_only,current_1pct,max_new_trades_per_day,XLI
zero,2022-01-10,stock_only,current_1pct,max_new_trades_per_day,PM
zero,2022-01-10,stock_only,current_1pct,max_new_trades_per_day,KHC
zero,2022-01-11,stock_only,current_1pct,max_new_trades_per_day,XLE
zero,2022-01-11,stock_only,current_1pct,max_new_trades_per_day,CVS
zero,2022-01-12,stock_only,current_1pct,max_positions,GE
zero,2022-01-12,stock_only,current_1pct,max_positions,DVN
zero,2022-01-12,stock_only,current_1pct,max_positions,F
zero,2022-01-12,stock_only,current_1pct,max_positions,JPM
zero,2022-01-12,stock_only,current_1pct,max_positions,T
zero,2022-01-12,stock_only,current_1pct,max_positions,XLF
zero,2022-01-13,stock_only,current_1pct,max_positions,XLI
zero,2022-01-13,stock_only,current_1pct,max_positions,NEM
zero,2022-01-13,stock_only,current_1pct,max_positions,GE
zero,2022-01-13,stock_only,current_1pct,max_positions,KHC
zero,2022-01-13,stock_only,current_1pct,max_positions,UBER
zero,2022-01-13,stock_only,current_1pct,max_positions,JPM
zero,2022-01-13,stock_only,current_1pct,max_positions,XLF
zero,2022-01-14,stock_only,current_1pct,max_positions,MO
zero,2022-01-14,stock_only,current_1pct,max_positions,COP
zero,2022-01-14,stock_only,current_1pct,max_positions,OXY
zero,2022-01-14,stock_only,current_1pct,max_positions,QCOM
zero,2022-01-14,stock_only,current_1pct,already_held_or_pending,SLB
zero,2022-01-14,stock_only,current_1pct,max_positions,VRTX
zero,2022-01-14,stock_only,current_1pct,max_positions,WMT
zero,2022-01-14,stock_only,current_1pct,max_positions,XLE
zero,2022-01-14,stock_only,current_1pct,max_positions,EOG
zero,2022-01-14,stock_only,current_1pct,max_positions,DVN
zero,2022-01-14,stock_only,current_1pct,max_positions,MDLZ
zero,2022-01-18,stock_only,current_1pct,max_positions,MO
zero,2022-01-18,stock_only,current_1pct,max_positions,EOG
zero,2022-01-18,stock_only,current_1pct,max_positions,MPC
zero,2022-01-18,stock_only,current_1pct,already_held_or_pending,SLB
zero,2022-01-18,stock_only,current_1pct,max_positions,BA
zero,2022-01-18,stock_only,current_1pct,already_held_or_pending,CVX
zero,2022-01-18,stock_only,current_1pct,max_positions,DVN
zero,2022-01-18,stock_only,current_1pct,max_positions,GE
zero,2022-01-18,stock_only,current_1pct,max_positions,XLE
zero,2022-01-20,stock_only,current_1pct,max_new_trades_per_day,PEP
zero,2022-01-26,stock_only,current_1pct,max_new_trades_per_day,EOG
zero,2022-01-26,stock_only,current_1pct,max_new_trades_per_day,LMT
zero,2022-01-26,stock_only,current_1pct,max_new_trades_per_day,SLB
zero,2022-01-26,stock_only,current_1pct,max_new_trades_per_day,XLE
zero,2022-01-26,stock_only,current_1pct,max_new_trades_per_day,XOM
zero,2022-01-27,stock_only,current_1pct,already_held_or_pending,COP
zero,2022-02-02,stock_only,current_1pct,max_new_trades_per_day,KO
zero,2022-02-02,stock_only,current_1pct,max_new_trades_per_day,MSFT
zero,2022-02-03,stock_only,current_1pct,max_new_trades_per_day,BAC
zero,2022-02-03,stock_only,current_1pct,max_new_trades_per_day,JPM
zero,2022-02-03,stock_only,current_1pct,max_new_trades_per_day,KO
zero,2022-02-03,stock_only,current_1pct,max_new_trades_per_day,VZ
zero,2022-02-03,stock_only,current_1pct,max_new_trades_per_day,JNJ
zero,2022-02-04,stock_only,current_1pct,max_new_trades_per_day,COP
zero,2022-02-04,stock_only,current_1pct,max_new_trades_per_day,DVN
zero,2022-02-04,stock_only,current_1pct,max_new_trades_per_day,CVX
zero,2022-02-04,stock_only,current_1pct,max_new_trades_per_day,REGN
zero,2022-02-04,stock_only,current_1pct,max_new_trades_per_day,XLE
zero,2022-02-04,stock_only,current_1pct,max_new_trades_per_day,GS
zero,2022-02-04,stock_only,current_1pct,max_new_trades_per_day,EOG
zero,2022-02-07,stock_only,current_1pct,max_new_trades_per_day,GS
zero,2022-02-07,stock_only,current_1pct,max_new_trades_per_day,MPC
zero,2022-02-07,stock_only,current_1pct,max_new_trades_per_day,WFC
zero,2022-02-07,stock_only,current_1pct,max_new_trades_per_day,XLE
zero,2022-02-07,stock_only,current_1pct,max_new_trades_per_day,XLF
zero,2022-02-07,stock_only,current_1pct,max_new_trades_per_day,XOM
zero,2022-02-07,stock_only,current_1pct,max_new_trades_per_day,DIS
zero,2022-02-07,stock_only,current_1pct,max_new_trades_per_day,JPM
zero,2022-02-07,stock_only,current_1pct,max_new_trades_per_day,MS
zero,2022-02-07,stock_only,current_1pct,max_new_trades_per_day,PSX
zero,2022-02-08,stock_only,current_1pct,max_positions,C
zero,2022-02-08,stock_only,current_1pct,max_positions,CVS
zero,2022-02-08,stock_only,current_1pct,max_positions,IWM
zero,2022-02-08,stock_only,current_1pct,max_positions,KO
zero,2022-02-08,stock_only,current_1pct,max_positions,XLF
zero,2022-02-08,stock_only,current_1pct,max_positions,MRVL
zero,2022-02-08,stock_only,current_1pct,max_positions,RTX
zero,2022-02-08,stock_only,current_1pct,max_positions,GS
zero,2022-02-09,stock_only,current_1pct,already_held_or_pending,BMY
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,CMG
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,CRWD
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,MU
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,SOXX
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,AAPL
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,IBB
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,MSFT
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,RTX
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,C
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,MPC
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,ZS
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,COP
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,CVX
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,QCOM
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,TSLA
zero,2022-02-09,stock_only,current_1pct,max_new_trades_per_day,XLP
zero,2022-02-10,stock_only,current_1pct,max_new_trades_per_day,NOW
zero,2022-02-10,stock_only,current_1pct,max_new_trades_per_day,BAC
zero,2022-02-10,stock_only,current_1pct,max_new_trades_per_day,BX
zero,2022-02-10,stock_only,current_1pct,max_new_trades_per_day,C
zero,2022-02-10,stock_only,current_1pct,max_new_trades_per_day,COP
zero,2022-02-10,stock_only,current_1pct,max_new_trades_per_day,GE
zero,2022-02-10,stock_only,current_1pct,max_new_trades_per_day,ISRG
zero,2022-02-10,stock_only,current_1pct,max_new_trades_per_day,JPM
zero,2022-02-10,stock_only,current_1pct,max_new_trades_per_day,CVX
zero,2022-02-10,stock_only,current_1pct,max_new_trades_per_day,LULU
zero,2022-02-10,stock_only,current_1pct,max_new_trades_per_day,PSX
zero,2022-02-10,stock_only,current_1pct,max_new_trades_per_day,MS
zero,2022-02-10,stock_only,current_1pct,max_new_trades_per_day,GS
zero,2022-02-11,stock_only,current_1pct,max_new_trades_per_day,DVN
zero,2022-02-11,stock_only,current_1pct,max_new_trades_per_day,PM
zero,2022-02-11,stock_only,current_1pct,max_new_trades_per_day,GLD
zero,2022-02-11,stock_only,current_1pct,max_new_trades_per_day,WFC
zero,2022-02-11,stock_only,current_1pct,max_new_trades_per_day,JPM
zero,2022-02-15,stock_only,current_1pct,max_new_trades_per_day,PLTR
zero,2022-02-15,stock_only,current_1pct,max_new_trades_per_day,VZ
zero,2022-02-16,stock_only,current_1pct,max_new_trades_per_day,FCX
zero,2022-02-16,stock_only,current_1pct,max_new_trades_per_day,GE
zero,2022-02-16,stock_only,current_1pct,max_new_trades_per_day,NEM
zero,2022-02-16,stock_only,current_1pct,max_new_trades_per_day,JPM
zero,2022-02-17,stock_only,current_1pct,max_new_trades_per_day,COST
zero,2022-02-23,stock_only,current_1pct,max_new_trades_per_day,NEM
zero,2022-03-01,stock_only,current_1pct,max_new_trades_per_day,GLD
zero,2022-03-01,stock_only,current_1pct,max_new_trades_per_day,NET
zero,2022-03-02,stock_only,current_1pct,max_new_trades_per_day,KO
zero,2022-03-02,stock_only,current_1pct,max_new_trades_per_day,VZ
zero,2022-03-02,stock_only,current_1pct,max_new_trades_per_day,XLE
zero,2022-03-03,stock_only,current_1pct,max_new_trades_per_day,CSCO
zero,2022-03-03,stock_only,current_1pct,max_new_trades_per_day,VZ
zero,2022-03-03,stock_only,current_1pct,max_new_trades_per_day,ELV
zero,2022-03-03,stock_only,current_1pct,max_new_trades_per_day,KO
zero,2022-03-03,stock_only,current_1pct,max_new_trades_per_day,XLV
zero,2022-03-04,stock_only,current_1pct,max_new_trades_per_day,XLE
zero,2022-03-04,stock_only,current_1pct,max_new_trades_per_day,XOM
zero,2022-03-04,stock_only,current_1pct,max_new_trades_per_day,CVX
zero,2022-03-07,stock_only,current_1pct,max_new_trades_per_day,GLD
zero,2022-03-07,stock_only,current_1pct,max_new_trades_per_day,WMT
zero,2022-03-07,stock_only,current_1pct,max_new_trades_per_day,EOG
zero,2022-03-07,stock_only,current_1pct,max_new_trades_per_day,JNJ
zero,2022-03-07,stock_only,current_1pct,max_new_trades_per_day,ABBV
zero,2022-03-07,stock_only,current_1pct,max_new_trades_per_day,DVN
zero,2022-03-07,stock_only,current_1pct,max_new_trades_per_day,XLI
zero,2022-03-07,stock_only,current_1pct,max_new_trades_per_day,CI
