cost_model,mode,net_pnl,period,portfolio
zero,stock_only,-3584.5144000000223,2022Q1,current_1pct
zero,stock_only,-2639.8194999999987,2022Q2,current_1pct
zero,stock_only,6982.094899999987,2022Q3,current_1pct
zero,stock_only,-2406.732899999985,2022Q4,current_1pct
zero,stock_only,2290.623399999983,2023Q1,current_1pct
zero,stock_only,-226.43809999998905,2023Q2,current_1pct
zero,stock_only,-361.55949999999905,2023Q3,current_1pct
zero,stock_only,1330.1623999999952,2023Q4,current_1pct
zero,stock_only,0.03999999999999915,2024Q1,current_1pct
zero,stock_only,0.0,2024Q2,current_1pct
zero,stock_only,0.12500000000000178,2024Q3,current_1pct
zero,stock_only,-0.28999999999999915,2024Q4,current_1pct
zero,stock_only,-0.2350000000000012,2025Q1,current_1pct
zero,stock_only,-104.57190000000024,2025Q2,current_1pct
zero,stock_only,49.08630000000066,2025Q3,current_1pct
zero,stock_only,-9.33759999999981,2025Q4,current_1pct
zero,stock_only,-6.86460000000023,2026Q1,current_1pct
zero,stock_only,-246.79000000000156,2026Q2,current_1pct
zero,stock_only,0.0,2026Q3,current_1pct
baseline,stock_only,-5581.099624950021,2022Q1,current_1pct
baseline,stock_only,-3957.4434666499988,2022Q2,current_1pct
baseline,stock_only,5149.105747349988,2022Q3,current_1pct
baseline,stock_only,-3934.267747899985,2022Q4,current_1pct
baseline,stock_only,401.06683739998437,2023Q1,current_1pct
baseline,stock_only,-1231.14237669999,2023Q2,current_1pct
baseline,stock_only,-406.4290874999991,2023Q3,current_1pct
baseline,stock_only,945.1410473999958,2023Q4,current_1pct
baseline,stock_only,-8.083012850000017,2024Q1,current_1pct
baseline,stock_only,16.77925975000001,2024Q2,current_1pct
baseline,stock_only,-4.026236800000022,2024Q3,current_1pct
baseline,stock_only,-6.240555799999985,2024Q4,current_1pct
baseline,stock_only,-8.999897950000044,2025Q1,current_1pct
baseline,stock_only,-107.35577395000014,2025Q2,current_1pct
baseline,stock_only,4.4853570500004265,2025Q3,current_1pct
baseline,stock_only,-33.61479429999989,2025Q4,current_1pct
baseline,stock_only,-42.91425315000005,2026Q1,current_1pct
baseline,stock_only,-346.6030248000013,2026Q2,current_1pct
baseline,stock_only,7.1577816500000075,2026Q3,current_1pct
stressed,stock_only,-8680.44493775002,2022Q1,current_1pct
stressed,stock_only,-5917.319357749999,2022Q2,current_1pct
stressed,stock_only,2496.3768184099877,2022Q3,current_1pct
stressed,stock_only,-6015.358719579987,2022Q4,current_1pct
stressed,stock_only,-2073.7563280700138,2023Q1,current_1pct
stressed,stock_only,-2468.962643489992,2023Q2,current_1pct
stressed,stock_only,-441.48914899999914,2023Q3,current_1pct
stressed,stock_only,450.29436981999606,2023Q4,current_1pct
stressed,stock_only,-17.217103280000003,2024Q1,current_1pct
stressed,stock_only,-3.2237586600000627,2024Q2,current_1pct
stressed,stock_only,-6.656780000000021,2024Q3,current_1pct
stressed,stock_only,-8.983510329999923,2024Q4,current_1pct
stressed,stock_only,-5.304189860000046,2025Q1,current_1pct
stressed,stock_only,-47.48251098999996,2025Q2,current_1pct
stressed,stock_only,-14.020482399999795,2025Q3,current_1pct
stressed,stock_only,-5.921712279999979,2025Q4,current_1pct
stressed,stock_only,1.0108764700000243,2026Q1,current_1pct
stressed,stock_only,-597.9793147900033,2026Q2,current_1pct
stressed,stock_only,5.597762749999996,2026Q3,current_1pct
zero,stock_only,-1153.7219000000173,2022Q1,safe_0_25pct
zero,stock_only,-2487.290899999998,2022Q2,safe_0_25pct
zero,stock_only,4299.222799999987,2022Q3,safe_0_25pct
zero,stock_only,-1015.5226999999854,2022Q4,safe_0_25pct
zero,stock_only,2370.2135999999855,2023Q1,safe_0_25pct
zero,stock_only,2269.6118000000106,2023Q2,safe_0_25pct
