cost_model,date,delta1_expiration_sessions,delta2_enabled,delta3_enabled,portfolio,reason,symbol,variant_id
zero,2026-07-06,,False,False,current_1pct,already_held_or_pending,SPY,d1_off_d2_off_d3_off
zero,2026-07-13,,False,False,current_1pct,already_held_or_pending,MSFT,d1_off_d2_off_d3_off
zero,2026-07-15,,False,False,current_1pct,already_held_or_pending,SPY,d1_off_d2_off_d3_off
baseline,2026-07-06,,False,False,current_1pct,already_held_or_pending,SPY,d1_off_d2_off_d3_off
baseline,2026-07-13,,False,False,current_1pct,already_held_or_pending,MSFT,d1_off_d2_off_d3_off
baseline,2026-07-15,,False,False,current_1pct,already_held_or_pending,SPY,d1_off_d2_off_d3_off
stressed,2026-07-06,,False,False,current_1pct,already_held_or_pending,SPY,d1_off_d2_off_d3_off
stressed,2026-07-13,,False,False,current_1pct,already_held_or_pending,MSFT,d1_off_d2_off_d3_off
stressed,2026-07-15,,False,False,current_1pct,already_held_or_pending,SPY,d1_off_d2_off_d3_off
zero,2026-07-06,,False,False,safe_0_25pct,already_held_or_pending,SPY,d1_off_d2_off_d3_off
zero,2026-07-13,,False,False,safe_0_25pct,already_held_or_pending,MSFT,d1_off_d2_off_d3_off
zero,2026-07-15,,False,False,safe_0_25pct,already_held_or_pending,SPY,d1_off_d2_off_d3_off
baseline,2026-07-06,,False,False,safe_0_25pct,already_held_or_pending,SPY,d1_off_d2_off_d3_off
baseline,2026-07-13,,False,False,safe_0_25pct,already_held_or_pending,MSFT,d1_off_d2_off_d3_off
baseline,2026-07-15,,False,False,safe_0_25pct,already_held_or_pending,SPY,d1_off_d2_off_d3_off
stressed,2026-07-06,,False,False,safe_0_25pct,already_held_or_pending,SPY,d1_off_d2_off_d3_off
stressed,2026-07-13,,False,False,safe_0_25pct,already_held_or_pending,MSFT,d1_off_d2_off_d3_off
stressed,2026-07-15,,False,False,safe_0_25pct,already_held_or_pending,SPY,d1_off_d2_off_d3_off
zero,2026-07-06,,False,True,current_1pct,already_held_or_pending,SPY,d1_off_d2_off_d3_on
zero,2026-07-13,,False,True,current_1pct,already_held_or_pending,MSFT,d1_off_d2_off_d3_on
zero,2026-07-15,,False,True,current_1pct,already_held_or_pending,SPY,d1_off_d2_off_d3_on
baseline,2026-07-06,,False,True,current_1pct,already_held_or_pending,SPY,d1_off_d2_off_d3_on
baseline,2026-07-13,,False,True,current_1pct,already_held_or_pending,MSFT,d1_off_d2_off_d3_on
baseline,2026-07-15,,False,True,current_1pct,already_held_or_pending,SPY,d1_off_d2_off_d3_on
stressed,2026-07-06,,False,True,current_1pct,already_held_or_pending,SPY,d1_off_d2_off_d3_on
stressed,2026-07-13,,False,True,current_1pct,already_held_or_pending,MSFT,d1_off_d2_off_d3_on
stressed,2026-07-15,,False,True,current_1pct,already_held_or_pending,SPY,d1_off_d2_off_d3_on
zero,2026-07-06,,False,True,safe_0_25pct,already_held_or_pending,SPY,d1_off_d2_off_d3_on
zero,2026-07-13,,False,True,safe_0_25pct,already_held_or_pending,MSFT,d1_off_d2_off_d3_on
zero,2026-07-15,,False,True,safe_0_25pct,already_held_or_pending,SPY,d1_off_d2_off_d3_on
baseline,2026-07-06,,False,True,safe_0_25pct,already_held_or_pending,SPY,d1_off_d2_off_d3_on
baseline,2026-07-13,,False,True,safe_0_25pct,already_held_or_pending,MSFT,d1_off_d2_off_d3_on
baseline,2026-07-15,,False,True,safe_0_25pct,already_held_or_pending,SPY,d1_off_d2_off_d3_on
stressed,2026-07-06,,False,True,safe_0_25pct,already_held_or_pending,SPY,d1_off_d2_off_d3_on
stressed,2026-07-13,,False,True,safe_0_25pct,already_held_or_pending,MSFT,d1_off_d2_off_d3_on
stressed,2026-07-15,,False,True,safe_0_25pct,already_held_or_pending,SPY,d1_off_d2_off_d3_on
zero,2026-07-06,5,False,False,current_1pct,already_held_or_pending,SPY,d1_on_d2_off_d3_off
zero,2026-07-13,5,False,False,current_1pct,already_held_or_pending,MSFT,d1_on_d2_off_d3_off
zero,2026-07-15,5,False,False,current_1pct,already_held_or_pending,SPY,d1_on_d2_off_d3_off
baseline,2026-07-06,5,False,False,current_1pct,already_held_or_pending,SPY,d1_on_d2_off_d3_off
baseline,2026-07-13,5,False,False,current_1pct,already_held_or_pending,MSFT,d1_on_d2_off_d3_off
baseline,2026-07-15,5,False,False,current_1pct,already_held_or_pending,SPY,d1_on_d2_off_d3_off
stressed,2026-07-06,5,False,False,current_1pct,already_held_or_pending,SPY,d1_on_d2_off_d3_off
stressed,2026-07-13,5,False,False,current_1pct,already_held_or_pending,MSFT,d1_on_d2_off_d3_off
stressed,2026-07-15,5,False,False,current_1pct,already_held_or_pending,SPY,d1_on_d2_off_d3_off
zero,2026-07-06,5,False,False,safe_0_25pct,already_held_or_pending,SPY,d1_on_d2_off_d3_off
zero,2026-07-13,5,False,False,safe_0_25pct,already_held_or_pending,MSFT,d1_on_d2_off_d3_off
zero,2026-07-15,5,False,False,safe_0_25pct,already_held_or_pending,SPY,d1_on_d2_off_d3_off
baseline,2026-07-06,5,False,False,safe_0_25pct,already_held_or_pending,SPY,d1_on_d2_off_d3_off
baseline,2026-07-13,5,False,False,safe_0_25pct,already_held_or_pending,MSFT,d1_on_d2_off_d3_off
baseline,2026-07-15,5,False,False,safe_0_25pct,already_held_or_pending,SPY,d1_on_d2_off_d3_off
stressed,2026-07-06,5,False,False,safe_0_25pct,already_held_or_pending,SPY,d1_on_d2_off_d3_off
stressed,2026-07-13,5,False,False,safe_0_25pct,already_held_or_pending,MSFT,d1_on_d2_off_d3_off
stressed,2026-07-15,5,False,False,safe_0_25pct,already_held_or_pending,SPY,d1_on_d2_off_d3_off
zero,2026-07-06,5,False,True,current_1pct,already_held_or_pending,SPY,d1_on_d2_off_d3_on
zero,2026-07-13,5,False,True,current_1pct,already_held_or_pending,MSFT,d1_on_d2_off_d3_on
zero,2026-07-15,5,False,True,current_1pct,already_held_or_pending,SPY,d1_on_d2_off_d3_on
