interval,market,symbol,variant_id,window_end,window_start
research-stock-sip-1Minute,stock,TJX,d1_off_d2_on_d3_off,2022-02-03 16:16:00,2022-01-03 16:16:00
research-stock-sip-1Minute,stock,KHC,d1_off_d2_on_d3_off,2022-02-05 16:16:00,2022-01-05 16:16:00
research-stock-sip-1Minute,stock,GE,d1_off_d2_on_d3_off,2022-02-13 16:16:00,2022-01-13 16:16:00
research-stock-sip-1Minute,stock,JPM,d1_off_d2_on_d3_off,2022-02-13 16:16:00,2022-01-13 16:16:00
research-stock-sip-1Minute,stock,DVN,d1_off_d2_on_d3_off,2022-03-07 16:16:00,2022-02-04 16:16:00
research-stock-sip-1Minute,stock,XLE,d1_off_d2_on_d3_off,2022-03-10 16:16:00,2022-02-07 16:16:00
research-stock-sip-1Minute,stock,PLTR,d1_off_d2_on_d3_off,2022-08-06 15:16:00,2022-07-06 15:16:00
research-stock-sip-1Minute,stock,XLE,d1_off_d2_on_d3_off,2022-02-18 16:16:00,2022-01-18 16:16:00
research-stock-sip-1Minute,stock,XOM,d1_off_d2_on_d3_off,2022-03-10 16:16:00,2022-02-07 16:16:00
research-stock-sip-1Minute,stock,T,d1_off_d2_on_d3_off,2022-06-13 15:16:00,2022-05-13 15:16:00
research-stock-sip-1Minute,stock,MO,d1_off_d2_on_d3_off,2022-02-07 16:16:00,2022-01-07 16:16:00
research-stock-sip-1Minute,stock,C,d1_off_d2_on_d3_off,2022-03-11 16:16:00,2022-02-08 16:16:00
research-stock-sip-1Minute,stock,T,d1_off_d2_on_d3_off,2022-04-24 15:16:00,2022-03-24 15:16:00
research-stock-sip-1Minute,stock,AMZN,d1_on_d2_off_d3_off,2022-04-29 15:16:00,2022-03-29 15:16:00
research-stock-sip-1Minute,stock,PANW,d1_on_d2_off_d3_off,2022-07-02 15:16:00,2022-06-01 15:16:00
research-stock-sip-1Minute,stock,UBER,d1_on_d2_off_d3_off,2022-10-16 15:16:00,2022-09-15 15:16:00
research-stock-sip-1Minute,stock,XLV,d1_on_d2_off_d3_off,2022-12-22 16:16:00,2022-11-21 16:16:00
research-stock-sip-1Minute,stock,NFLX,d1_on_d2_off_d3_off,2023-02-09 16:16:00,2023-01-09 16:16:00
research-stock-sip-1Minute,stock,SLB,d1_on_d2_off_d3_off,2023-02-18 16:16:00,2023-01-18 16:16:00
research-stock-sip-1Minute,stock,CRWD,d1_on_d2_off_d3_off,2023-02-23 16:16:00,2023-01-23 16:16:00
research-stock-sip-1Minute,stock,T,d1_on_d2_off_d3_off,2023-03-04 16:16:00,2023-02-01 16:16:00
research-stock-sip-1Minute,stock,MU,d1_on_d2_off_d3_off,2023-03-05 16:16:00,2023-02-02 16:16:00
research-stock-sip-1Minute,stock,MDT,d1_on_d2_off_d3_off,2023-03-24 16:16:00,2023-02-21 16:16:00
research-stock-sip-1Minute,stock,NVDA,d1_on_d2_off_d3_off,2023-04-03 16:16:00,2023-03-03 16:16:00
research-stock-sip-1Minute,stock,XLK,d1_on_d2_off_d3_off,2023-04-22 15:16:00,2023-03-22 15:16:00
research-stock-sip-1Minute,stock,VZ,d1_on_d2_off_d3_off,2023-04-27 15:16:00,2023-03-27 15:16:00
research-stock-sip-1Minute,stock,XLB,d1_on_d2_off_d3_off,2023-05-13 15:16:00,2023-04-12 15:16:00
research-stock-sip-1Minute,stock,BAC,d1_on_d2_off_d3_off,2023-05-15 15:16:00,2023-04-14 15:16:00
