date,market,reason,symbol
2022-01-03,stock,pre-inception or indicator warmup,ARM
2022-01-04,stock,pre-inception or indicator warmup,ARM
2022-01-05,stock,pre-inception or indicator warmup,ARM
2022-01-06,stock,pre-inception or indicator warmup,ARM
2022-01-07,stock,pre-inception or indicator warmup,ARM
2022-01-10,stock,pre-inception or indicator warmup,ARM
2022-01-11,stock,pre-inception or indicator warmup,ARM
2022-01-12,stock,pre-inception or indicator warmup,ARM
2022-01-13,stock,pre-inception or indicator warmup,ARM
2022-01-14,stock,pre-inception or indicator warmup,ARM
2022-01-18,stock,pre-inception or indicator warmup,ARM
2022-01-19,stock,pre-inception or indicator warmup,ARM
2022-01-20,stock,pre-inception or indicator warmup,ARM
2022-01-21,stock,pre-inception or indicator warmup,ARM
2022-01-24,stock,pre-inception or indicator warmup,ARM
2022-01-25,stock,pre-inception or indicator warmup,ARM
2022-01-26,stock,pre-inception or indicator warmup,ARM
2022-01-27,stock,pre-inception or indicator warmup,ARM
2022-01-28,stock,pre-inception or indicator warmup,ARM
2022-01-31,stock,pre-inception or indicator warmup,ARM
2022-02-01,stock,pre-inception or indicator warmup,ARM
2022-02-02,stock,pre-inception or indicator warmup,ARM
2022-02-03,stock,pre-inception or indicator warmup,ARM
2022-02-04,stock,pre-inception or indicator warmup,ARM
2022-02-07,stock,pre-inception or indicator warmup,ARM
2022-02-08,stock,pre-inception or indicator warmup,ARM
2022-02-09,stock,pre-inception or indicator warmup,ARM
2022-02-10,stock,pre-inception or indicator warmup,ARM
2022-02-11,stock,pre-inception or indicator warmup,ARM
2022-02-14,stock,pre-inception or indicator warmup,ARM
2022-02-15,stock,pre-inception or indicator warmup,ARM
2022-02-16,stock,pre-inception or indicator warmup,ARM
2022-02-17,stock,pre-inception or indicator warmup,ARM
2022-02-18,stock,pre-inception or indicator warmup,ARM
2022-02-22,stock,pre-inception or indicator warmup,ARM
2022-02-23,stock,pre-inception or indicator warmup,ARM
2022-02-24,stock,pre-inception or indicator warmup,ARM
2022-02-25,stock,pre-inception or indicator warmup,ARM
2022-02-28,stock,pre-inception or indicator warmup,ARM
2022-03-01,stock,pre-inception or indicator warmup,ARM
2022-03-02,stock,pre-inception or indicator warmup,ARM
2022-03-03,stock,pre-inception or indicator warmup,ARM
2022-03-04,stock,pre-inception or indicator warmup,ARM
2022-03-07,stock,pre-inception or indicator warmup,ARM
2022-03-08,stock,pre-inception or indicator warmup,ARM
2022-03-08,stock,insufficient or missing completed hourly data,ETN
