cost_model,date,delta1_expiration_sessions,delta2_enabled,delta3_enabled,portfolio,reason,symbol,variant_id
zero,2022-01-03,,True,False,current_1pct,TJX research-stock-sip-1Minute 2022-01-03 16:16:00..2022-02-03 16:16:00 not fully cached,TJX,d1_off_d2_on_d3_off
zero,2022-01-05,,True,False,current_1pct,KHC research-stock-sip-1Minute 2022-01-05 16:16:00..2022-02-05 16:16:00 not fully cached,KHC,d1_off_d2_on_d3_off
zero,2022-01-13,,True,False,current_1pct,GE research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,GE,d1_off_d2_on_d3_off
zero,2022-01-13,,True,False,current_1pct,JPM research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,JPM,d1_off_d2_on_d3_off
zero,2022-02-04,,True,False,current_1pct,DVN research-stock-sip-1Minute 2022-02-04 16:16:00..2022-03-07 16:16:00 not fully cached,DVN,d1_off_d2_on_d3_off
zero,2022-02-07,,True,False,current_1pct,XLE research-stock-sip-1Minute 2022-02-07 16:16:00..2022-03-10 16:16:00 not fully cached,XLE,d1_off_d2_on_d3_off
zero,2022-07-06,,True,False,current_1pct,PLTR research-stock-sip-1Minute 2022-07-06 15:16:00..2022-08-06 15:16:00 not fully cached,PLTR,d1_off_d2_on_d3_off
baseline,2022-01-03,,True,False,current_1pct,TJX research-stock-sip-1Minute 2022-01-03 16:16:00..2022-02-03 16:16:00 not fully cached,TJX,d1_off_d2_on_d3_off
baseline,2022-01-05,,True,False,current_1pct,KHC research-stock-sip-1Minute 2022-01-05 16:16:00..2022-02-05 16:16:00 not fully cached,KHC,d1_off_d2_on_d3_off
baseline,2022-01-13,,True,False,current_1pct,GE research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,GE,d1_off_d2_on_d3_off
baseline,2022-01-13,,True,False,current_1pct,JPM research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,JPM,d1_off_d2_on_d3_off
baseline,2022-02-04,,True,False,current_1pct,DVN research-stock-sip-1Minute 2022-02-04 16:16:00..2022-03-07 16:16:00 not fully cached,DVN,d1_off_d2_on_d3_off
baseline,2022-02-07,,True,False,current_1pct,XLE research-stock-sip-1Minute 2022-02-07 16:16:00..2022-03-10 16:16:00 not fully cached,XLE,d1_off_d2_on_d3_off
stressed,2022-01-03,,True,False,current_1pct,TJX research-stock-sip-1Minute 2022-01-03 16:16:00..2022-02-03 16:16:00 not fully cached,TJX,d1_off_d2_on_d3_off
stressed,2022-01-05,,True,False,current_1pct,KHC research-stock-sip-1Minute 2022-01-05 16:16:00..2022-02-05 16:16:00 not fully cached,KHC,d1_off_d2_on_d3_off
stressed,2022-01-13,,True,False,current_1pct,GE research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,GE,d1_off_d2_on_d3_off
stressed,2022-01-13,,True,False,current_1pct,JPM research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,JPM,d1_off_d2_on_d3_off
stressed,2022-01-18,,True,False,current_1pct,XLE research-stock-sip-1Minute 2022-01-18 16:16:00..2022-02-18 16:16:00 not fully cached,XLE,d1_off_d2_on_d3_off
stressed,2022-02-04,,True,False,current_1pct,DVN research-stock-sip-1Minute 2022-02-04 16:16:00..2022-03-07 16:16:00 not fully cached,DVN,d1_off_d2_on_d3_off
stressed,2022-02-07,,True,False,current_1pct,XOM research-stock-sip-1Minute 2022-02-07 16:16:00..2022-03-10 16:16:00 not fully cached,XOM,d1_off_d2_on_d3_off
stressed,2022-05-13,,True,False,current_1pct,T research-stock-sip-1Minute 2022-05-13 15:16:00..2022-06-13 15:16:00 not fully cached,T,d1_off_d2_on_d3_off
zero,2022-01-03,,True,False,safe_0_25pct,TJX research-stock-sip-1Minute 2022-01-03 16:16:00..2022-02-03 16:16:00 not fully cached,TJX,d1_off_d2_on_d3_off
zero,2022-01-05,,True,False,safe_0_25pct,KHC research-stock-sip-1Minute 2022-01-05 16:16:00..2022-02-05 16:16:00 not fully cached,KHC,d1_off_d2_on_d3_off
zero,2022-01-07,,True,False,safe_0_25pct,MO research-stock-sip-1Minute 2022-01-07 16:16:00..2022-02-07 16:16:00 not fully cached,MO,d1_off_d2_on_d3_off
zero,2022-01-13,,True,False,safe_0_25pct,GE research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,GE,d1_off_d2_on_d3_off
zero,2022-01-13,,True,False,safe_0_25pct,JPM research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,JPM,d1_off_d2_on_d3_off
zero,2022-01-18,,True,False,safe_0_25pct,XLE research-stock-sip-1Minute 2022-01-18 16:16:00..2022-02-18 16:16:00 not fully cached,XLE,d1_off_d2_on_d3_off
zero,2022-02-04,,True,False,safe_0_25pct,DVN research-stock-sip-1Minute 2022-02-04 16:16:00..2022-03-07 16:16:00 not fully cached,DVN,d1_off_d2_on_d3_off
zero,2022-02-07,,True,False,safe_0_25pct,XOM research-stock-sip-1Minute 2022-02-07 16:16:00..2022-03-10 16:16:00 not fully cached,XOM,d1_off_d2_on_d3_off
zero,2022-02-08,,True,False,safe_0_25pct,C research-stock-sip-1Minute 2022-02-08 16:16:00..2022-03-11 16:16:00 not fully cached,C,d1_off_d2_on_d3_off
zero,2022-07-06,,True,False,safe_0_25pct,PLTR research-stock-sip-1Minute 2022-07-06 15:16:00..2022-08-06 15:16:00 not fully cached,PLTR,d1_off_d2_on_d3_off
baseline,2022-01-03,,True,False,safe_0_25pct,TJX research-stock-sip-1Minute 2022-01-03 16:16:00..2022-02-03 16:16:00 not fully cached,TJX,d1_off_d2_on_d3_off
baseline,2022-01-05,,True,False,safe_0_25pct,KHC research-stock-sip-1Minute 2022-01-05 16:16:00..2022-02-05 16:16:00 not fully cached,KHC,d1_off_d2_on_d3_off
baseline,2022-01-07,,True,False,safe_0_25pct,MO research-stock-sip-1Minute 2022-01-07 16:16:00..2022-02-07 16:16:00 not fully cached,MO,d1_off_d2_on_d3_off
baseline,2022-01-13,,True,False,safe_0_25pct,GE research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,GE,d1_off_d2_on_d3_off
baseline,2022-01-13,,True,False,safe_0_25pct,JPM research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,JPM,d1_off_d2_on_d3_off
baseline,2022-02-04,,True,False,safe_0_25pct,DVN research-stock-sip-1Minute 2022-02-04 16:16:00..2022-03-07 16:16:00 not fully cached,DVN,d1_off_d2_on_d3_off
baseline,2022-02-07,,True,False,safe_0_25pct,XLE research-stock-sip-1Minute 2022-02-07 16:16:00..2022-03-10 16:16:00 not fully cached,XLE,d1_off_d2_on_d3_off
baseline,2022-03-24,,True,False,safe_0_25pct,T research-stock-sip-1Minute 2022-03-24 15:16:00..2022-04-24 15:16:00 not fully cached,T,d1_off_d2_on_d3_off
stressed,2022-01-03,,True,False,safe_0_25pct,TJX research-stock-sip-1Minute 2022-01-03 16:16:00..2022-02-03 16:16:00 not fully cached,TJX,d1_off_d2_on_d3_off
stressed,2022-01-05,,True,False,safe_0_25pct,KHC research-stock-sip-1Minute 2022-01-05 16:16:00..2022-02-05 16:16:00 not fully cached,KHC,d1_off_d2_on_d3_off
stressed,2022-01-07,,True,False,safe_0_25pct,MO research-stock-sip-1Minute 2022-01-07 16:16:00..2022-02-07 16:16:00 not fully cached,MO,d1_off_d2_on_d3_off
stressed,2022-01-13,,True,False,safe_0_25pct,GE research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,GE,d1_off_d2_on_d3_off
stressed,2022-01-13,,True,False,safe_0_25pct,JPM research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,JPM,d1_off_d2_on_d3_off
stressed,2022-02-04,,True,False,safe_0_25pct,DVN research-stock-sip-1Minute 2022-02-04 16:16:00..2022-03-07 16:16:00 not fully cached,DVN,d1_off_d2_on_d3_off
stressed,2022-02-07,,True,False,safe_0_25pct,XLE research-stock-sip-1Minute 2022-02-07 16:16:00..2022-03-10 16:16:00 not fully cached,XLE,d1_off_d2_on_d3_off
stressed,2022-03-24,,True,False,safe_0_25pct,T research-stock-sip-1Minute 2022-03-24 15:16:00..2022-04-24 15:16:00 not fully cached,T,d1_off_d2_on_d3_off
zero,2022-01-03,,True,True,current_1pct,TJX research-stock-sip-1Minute 2022-01-03 16:16:00..2022-02-03 16:16:00 not fully cached,TJX,d1_off_d2_on_d3_on
zero,2022-01-05,,True,True,current_1pct,KHC research-stock-sip-1Minute 2022-01-05 16:16:00..2022-02-05 16:16:00 not fully cached,KHC,d1_off_d2_on_d3_on
zero,2022-01-13,,True,True,current_1pct,GE research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,GE,d1_off_d2_on_d3_on
zero,2022-01-13,,True,True,current_1pct,JPM research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,JPM,d1_off_d2_on_d3_on
zero,2022-02-04,,True,True,current_1pct,DVN research-stock-sip-1Minute 2022-02-04 16:16:00..2022-03-07 16:16:00 not fully cached,DVN,d1_off_d2_on_d3_on
zero,2022-02-07,,True,True,current_1pct,XLE research-stock-sip-1Minute 2022-02-07 16:16:00..2022-03-10 16:16:00 not fully cached,XLE,d1_off_d2_on_d3_on
zero,2022-07-06,,True,True,current_1pct,PLTR research-stock-sip-1Minute 2022-07-06 15:16:00..2022-08-06 15:16:00 not fully cached,PLTR,d1_off_d2_on_d3_on
baseline,2022-01-03,,True,True,current_1pct,TJX research-stock-sip-1Minute 2022-01-03 16:16:00..2022-02-03 16:16:00 not fully cached,TJX,d1_off_d2_on_d3_on
baseline,2022-01-05,,True,True,current_1pct,KHC research-stock-sip-1Minute 2022-01-05 16:16:00..2022-02-05 16:16:00 not fully cached,KHC,d1_off_d2_on_d3_on
baseline,2022-01-13,,True,True,current_1pct,GE research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,GE,d1_off_d2_on_d3_on
baseline,2022-01-13,,True,True,current_1pct,JPM research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,JPM,d1_off_d2_on_d3_on
baseline,2022-02-04,,True,True,current_1pct,DVN research-stock-sip-1Minute 2022-02-04 16:16:00..2022-03-07 16:16:00 not fully cached,DVN,d1_off_d2_on_d3_on
baseline,2022-02-07,,True,True,current_1pct,XLE research-stock-sip-1Minute 2022-02-07 16:16:00..2022-03-10 16:16:00 not fully cached,XLE,d1_off_d2_on_d3_on
stressed,2022-01-03,,True,True,current_1pct,TJX research-stock-sip-1Minute 2022-01-03 16:16:00..2022-02-03 16:16:00 not fully cached,TJX,d1_off_d2_on_d3_on
stressed,2022-01-05,,True,True,current_1pct,KHC research-stock-sip-1Minute 2022-01-05 16:16:00..2022-02-05 16:16:00 not fully cached,KHC,d1_off_d2_on_d3_on
stressed,2022-01-13,,True,True,current_1pct,GE research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,GE,d1_off_d2_on_d3_on
stressed,2022-01-13,,True,True,current_1pct,JPM research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,JPM,d1_off_d2_on_d3_on
stressed,2022-01-18,,True,True,current_1pct,XLE research-stock-sip-1Minute 2022-01-18 16:16:00..2022-02-18 16:16:00 not fully cached,XLE,d1_off_d2_on_d3_on
stressed,2022-02-04,,True,True,current_1pct,DVN research-stock-sip-1Minute 2022-02-04 16:16:00..2022-03-07 16:16:00 not fully cached,DVN,d1_off_d2_on_d3_on
stressed,2022-02-07,,True,True,current_1pct,XOM research-stock-sip-1Minute 2022-02-07 16:16:00..2022-03-10 16:16:00 not fully cached,XOM,d1_off_d2_on_d3_on
stressed,2022-05-13,,True,True,current_1pct,T research-stock-sip-1Minute 2022-05-13 15:16:00..2022-06-13 15:16:00 not fully cached,T,d1_off_d2_on_d3_on
zero,2022-01-03,,True,True,safe_0_25pct,TJX research-stock-sip-1Minute 2022-01-03 16:16:00..2022-02-03 16:16:00 not fully cached,TJX,d1_off_d2_on_d3_on
zero,2022-01-05,,True,True,safe_0_25pct,KHC research-stock-sip-1Minute 2022-01-05 16:16:00..2022-02-05 16:16:00 not fully cached,KHC,d1_off_d2_on_d3_on
zero,2022-01-07,,True,True,safe_0_25pct,MO research-stock-sip-1Minute 2022-01-07 16:16:00..2022-02-07 16:16:00 not fully cached,MO,d1_off_d2_on_d3_on
zero,2022-01-13,,True,True,safe_0_25pct,GE research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,GE,d1_off_d2_on_d3_on
zero,2022-01-13,,True,True,safe_0_25pct,JPM research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,JPM,d1_off_d2_on_d3_on
zero,2022-01-18,,True,True,safe_0_25pct,XLE research-stock-sip-1Minute 2022-01-18 16:16:00..2022-02-18 16:16:00 not fully cached,XLE,d1_off_d2_on_d3_on
zero,2022-02-04,,True,True,safe_0_25pct,DVN research-stock-sip-1Minute 2022-02-04 16:16:00..2022-03-07 16:16:00 not fully cached,DVN,d1_off_d2_on_d3_on
zero,2022-02-07,,True,True,safe_0_25pct,XOM research-stock-sip-1Minute 2022-02-07 16:16:00..2022-03-10 16:16:00 not fully cached,XOM,d1_off_d2_on_d3_on
zero,2022-02-08,,True,True,safe_0_25pct,C research-stock-sip-1Minute 2022-02-08 16:16:00..2022-03-11 16:16:00 not fully cached,C,d1_off_d2_on_d3_on
zero,2022-07-06,,True,True,safe_0_25pct,PLTR research-stock-sip-1Minute 2022-07-06 15:16:00..2022-08-06 15:16:00 not fully cached,PLTR,d1_off_d2_on_d3_on
baseline,2022-01-03,,True,True,safe_0_25pct,TJX research-stock-sip-1Minute 2022-01-03 16:16:00..2022-02-03 16:16:00 not fully cached,TJX,d1_off_d2_on_d3_on
baseline,2022-01-05,,True,True,safe_0_25pct,KHC research-stock-sip-1Minute 2022-01-05 16:16:00..2022-02-05 16:16:00 not fully cached,KHC,d1_off_d2_on_d3_on
baseline,2022-01-07,,True,True,safe_0_25pct,MO research-stock-sip-1Minute 2022-01-07 16:16:00..2022-02-07 16:16:00 not fully cached,MO,d1_off_d2_on_d3_on
baseline,2022-01-13,,True,True,safe_0_25pct,GE research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,GE,d1_off_d2_on_d3_on
baseline,2022-01-13,,True,True,safe_0_25pct,JPM research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,JPM,d1_off_d2_on_d3_on
baseline,2022-02-04,,True,True,safe_0_25pct,DVN research-stock-sip-1Minute 2022-02-04 16:16:00..2022-03-07 16:16:00 not fully cached,DVN,d1_off_d2_on_d3_on
baseline,2022-02-07,,True,True,safe_0_25pct,XLE research-stock-sip-1Minute 2022-02-07 16:16:00..2022-03-10 16:16:00 not fully cached,XLE,d1_off_d2_on_d3_on
baseline,2022-03-24,,True,True,safe_0_25pct,T research-stock-sip-1Minute 2022-03-24 15:16:00..2022-04-24 15:16:00 not fully cached,T,d1_off_d2_on_d3_on
stressed,2022-01-03,,True,True,safe_0_25pct,TJX research-stock-sip-1Minute 2022-01-03 16:16:00..2022-02-03 16:16:00 not fully cached,TJX,d1_off_d2_on_d3_on
stressed,2022-01-05,,True,True,safe_0_25pct,KHC research-stock-sip-1Minute 2022-01-05 16:16:00..2022-02-05 16:16:00 not fully cached,KHC,d1_off_d2_on_d3_on
stressed,2022-01-07,,True,True,safe_0_25pct,MO research-stock-sip-1Minute 2022-01-07 16:16:00..2022-02-07 16:16:00 not fully cached,MO,d1_off_d2_on_d3_on
stressed,2022-01-13,,True,True,safe_0_25pct,GE research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,GE,d1_off_d2_on_d3_on
stressed,2022-01-13,,True,True,safe_0_25pct,JPM research-stock-sip-1Minute 2022-01-13 16:16:00..2022-02-13 16:16:00 not fully cached,JPM,d1_off_d2_on_d3_on
stressed,2022-02-04,,True,True,safe_0_25pct,DVN research-stock-sip-1Minute 2022-02-04 16:16:00..2022-03-07 16:16:00 not fully cached,DVN,d1_off_d2_on_d3_on
stressed,2022-02-07,,True,True,safe_0_25pct,XLE research-stock-sip-1Minute 2022-02-07 16:16:00..2022-03-10 16:16:00 not fully cached,XLE,d1_off_d2_on_d3_on
stressed,2022-03-24,,True,True,safe_0_25pct,T research-stock-sip-1Minute 2022-03-24 15:16:00..2022-04-24 15:16:00 not fully cached,T,d1_off_d2_on_d3_on
zero,2022-03-29,5,False,False,current_1pct,AMZN research-stock-sip-1Minute 2022-03-29 15:16:00..2022-04-29 15:16:00 not fully cached,AMZN,d1_on_d2_off_d3_off
zero,2022-06-01,5,False,False,current_1pct,PANW research-stock-sip-1Minute 2022-06-01 15:16:00..2022-07-02 15:16:00 not fully cached,PANW,d1_on_d2_off_d3_off
zero,2022-09-15,5,False,False,current_1pct,UBER research-stock-sip-1Minute 2022-09-15 15:16:00..2022-10-16 15:16:00 not fully cached,UBER,d1_on_d2_off_d3_off
zero,2022-11-21,5,False,False,current_1pct,XLV research-stock-sip-1Minute 2022-11-21 16:16:00..2022-12-22 16:16:00 not fully cached,XLV,d1_on_d2_off_d3_off
zero,2023-01-09,5,False,False,current_1pct,NFLX research-stock-sip-1Minute 2023-01-09 16:16:00..2023-02-09 16:16:00 not fully cached,NFLX,d1_on_d2_off_d3_off
zero,2023-01-18,5,False,False,current_1pct,SLB research-stock-sip-1Minute 2023-01-18 16:16:00..2023-02-18 16:16:00 not fully cached,SLB,d1_on_d2_off_d3_off
zero,2023-01-23,5,False,False,current_1pct,CRWD research-stock-sip-1Minute 2023-01-23 16:16:00..2023-02-23 16:16:00 not fully cached,CRWD,d1_on_d2_off_d3_off
zero,2023-02-01,5,False,False,current_1pct,T research-stock-sip-1Minute 2023-02-01 16:16:00..2023-03-04 16:16:00 not fully cached,T,d1_on_d2_off_d3_off
zero,2023-02-02,5,False,False,current_1pct,MU research-stock-sip-1Minute 2023-02-02 16:16:00..2023-03-05 16:16:00 not fully cached,MU,d1_on_d2_off_d3_off
zero,2023-02-21,5,False,False,current_1pct,MDT research-stock-sip-1Minute 2023-02-21 16:16:00..2023-03-24 16:16:00 not fully cached,MDT,d1_on_d2_off_d3_off
zero,2023-03-03,5,False,False,current_1pct,NVDA research-stock-sip-1Minute 2023-03-03 16:16:00..2023-04-03 16:16:00 not fully cached,NVDA,d1_on_d2_off_d3_off
zero,2023-03-22,5,False,False,current_1pct,XLK research-stock-sip-1Minute 2023-03-22 15:16:00..2023-04-22 15:16:00 not fully cached,XLK,d1_on_d2_off_d3_off
zero,2023-03-27,5,False,False,current_1pct,VZ research-stock-sip-1Minute 2023-03-27 15:16:00..2023-04-27 15:16:00 not fully cached,VZ,d1_on_d2_off_d3_off
zero,2023-04-12,5,False,False,current_1pct,XLB research-stock-sip-1Minute 2023-04-12 15:16:00..2023-05-13 15:16:00 not fully cached,XLB,d1_on_d2_off_d3_off
zero,2023-04-14,5,False,False,current_1pct,BAC research-stock-sip-1Minute 2023-04-14 15:16:00..2023-05-15 15:16:00 not fully cached,BAC,d1_on_d2_off_d3_off
zero,2023-04-18,5,False,False,current_1pct,SCHW research-stock-sip-1Minute 2023-04-18 15:16:00..2023-05-19 15:16:00 not fully cached,SCHW,d1_on_d2_off_d3_off
zero,2023-04-18,5,False,False,current_1pct,F research-stock-sip-1Minute 2023-04-18 15:16:00..2023-05-19 15:16:00 not fully cached,F,d1_on_d2_off_d3_off
baseline,2022-03-29,5,False,False,current_1pct,AMZN research-stock-sip-1Minute 2022-03-29 15:16:00..2022-04-29 15:16:00 not fully cached,AMZN,d1_on_d2_off_d3_off
baseline,2022-06-01,5,False,False,current_1pct,PANW research-stock-sip-1Minute 2022-06-01 15:16:00..2022-07-02 15:16:00 not fully cached,PANW,d1_on_d2_off_d3_off
baseline,2022-09-15,5,False,False,current_1pct,UBER research-stock-sip-1Minute 2022-09-15 15:16:00..2022-10-16 15:16:00 not fully cached,UBER,d1_on_d2_off_d3_off
baseline,2022-10-14,5,False,False,current_1pct,BA research-stock-sip-1Minute 2022-10-14 15:16:00..2022-11-14 15:16:00 not fully cached,BA,d1_on_d2_off_d3_off
