ambiguous,atr,conviction,cost_model,decision_time,delta1_expiration_sessions,delta2_enabled,delta3_enabled,entry,exit_price,exit_reason,exit_time,expires_at,fill_price,filled_at,final_stop,gross_pnl,market,mode,net_pnl,outcome_data_missing,pnl_r,portfolio,quantity,reason,reserved_notional,risk_amount,signal_bar_end,status,stop,strategy_version,symbol,target,transaction_cost,variant_id
False,0.6385858036380363,87,zero,2022-01-03 16:16:00,,False,False,96.81,98.73,target,2022-01-04 14:30:00,,96.62,2022-01-03 16:17:00,97.61,434.65999999999985,stock,stock_only,434.65999999999985,False,2.197916666666648,current_1pct,206,,19942.86,197.76000000000164,2022-01-03 16:00:00,closed,95.85,stock_trend_momentum_v2,BKNG,98.73,0.0,d1_off_d2_off_d3_off
False,0.6404562048298776,87,zero,2022-01-03 16:16:00,,False,False,157.07,156.1,stop,2022-01-03 16:35:00,,156.93,2022-01-03 16:16:00,156.1,-105.41000000000159,stock,stock_only,-105.41000000000159,False,-0.8556701030927975,current_1pct,127,,19947.89,123.18999999999986,2022-01-03 16:00:00,closed,156.1,stock_trend_momentum_v2,DIS,159.01,0.0,d1_off_d2_off_d3_off
False,2.505038892477263,92,zero,2022-01-04 16:16:00,,False,False,376.54,373.76,stop,2022-01-05 14:30:00,,374.22,2022-01-04 16:16:00,373.76,-24.380000000001928,stock,stock_only,-24.380000000001928,False,-0.12234042553192302,current_1pct,53,,19956.620000000003,199.28000000000253,2022-01-04 16:00:00,closed,372.78,stock_trend_momentum_v2,MA,384.06,0.0,d1_off_d2_off_d3_off
False,1.2009157274980453,87,zero,2022-01-04 16:16:00,,False,False,223.18,221.92,stop,2022-01-05 14:32:00,,221.88,2022-01-04 16:16:00,221.92,3.5599999999992917,stock,stock_only,3.5599999999992917,False,0.02209944751380773,current_1pct,89,,19863.02,161.0900000000002,2022-01-04 16:00:00,closed,221.37,stock_trend_momentum_v2,V,226.8,0.0,d1_off_d2_off_d3_off
False,0.3594982521614169,87,zero,2022-01-05 16:16:00,,False,False,170.33,169.79,stop,2022-01-05 19:08:00,,170.33,2022-01-05 16:22:00,169.79,-63.180000000002394,stock,stock_only,-63.180000000002394,False,-1.0,current_1pct,117,,19928.61,63.180000000002394,2022-01-05 16:00:00,closed,169.79,stock_trend_momentum_v2,GLD,171.41,0.0,d1_off_d2_off_d3_off
False,1.0972420758054509,87,zero,2022-01-05 16:16:00,,False,False,164.83,163.18,stop,2022-01-05 19:34:00,,164.83,2022-01-05 16:16:00,163.18,-199.6500000000007,stock,stock_only,-199.6500000000007,False,-1.0,current_1pct,121,,19944.43,199.6500000000007,2022-01-05 16:00:00,closed,163.18,stock_trend_momentum_v2,SPG,168.13,0.0,d1_off_d2_off_d3_off
False,0.4349258176981491,87,zero,2022-01-06 16:16:00,,False,False,64.33,64.065,monitor_reversal,2022-01-19 15:30:00,,64.33,2022-01-19 15:17:00,63.67,-82.41500000000018,stock,stock_only,-82.41500000000018,False,-0.40151515151515443,current_1pct,311,,20006.63,205.25999999999894,2022-01-06 16:00:00,closed,63.67,stock_trend_momentum_v2,C,65.65,0.0,d1_off_d2_off_d3_off
False,0.6498779323586253,86,zero,2022-01-06 16:16:00,,False,False,48.07,48.72,stop,2022-01-10 14:30:00,,48.07,2022-01-07 14:32:00,48.72,270.3999999999994,stock,stock_only,270.3999999999994,False,0.6632653061224496,current_1pct,416,,19997.12,407.6799999999987,2022-01-06 16:00:00,closed,47.09,stock_trend_momentum_v2,DVN,50.03,0.0,d1_off_d2_off_d3_off
False,0.34131865945431994,87,zero,2022-01-07 16:16:00,,False,False,48.78,49.82,target,2022-01-10 14:30:00,,48.775,2022-01-07 16:16:00,48.75,429.4950000000007,stock,stock_only,429.4950000000007,False,2.0096153846153757,current_1pct,411,,20048.58,213.72000000000128,2022-01-07 16:00:00,closed,48.26,stock_trend_momentum_v2,BAC,49.82,0.0,d1_off_d2_off_d3_off
False,0.15891952745430032,87,zero,2022-01-07 16:16:00,,False,False,40.92,41.4,target,2022-01-10 14:30:00,,40.89,2022-01-07 16:16:00,40.97,249.899999999999,stock,stock_only,249.899999999999,False,2.124999999999974,current_1pct,490,,20050.8,117.60000000000097,2022-01-07 16:00:00,closed,40.68,stock_trend_momentum_v2,XLF,41.4,0.0,d1_off_d2_off_d3_off
